Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1963,,1735,,
11/1963,,10658,,
12/1963,,12393,,
01/1964,,22024,,
02/1964,,28433,,
03/1964,,28022,,
04/1964,,28532,,
05/1964,,26975,,
06/1964,,26991,,
07/1964,,22550,,
08/1964,,18208,,
09/1964,,12421,,
10/1964,,9591,,
11/1964,,20052,,
12/1964,,22949,,
01/1965,,32796,,
02/1965,,47207,,
03/1965,,64929,,
04/1965,,135492,,
05/1965,,131150,,
06/1965,,125846,,
07/1965,,94756,,
08/1965,,51794,,
09/1965,,40418,,
10/1965,,38374,,
11/1965,,54762,,
12/1965,,61500,,
01/1966,,88365,,
02/1966,,77746,,
03/1966,,101303,,
04/1966,,115202,,
05/1966,,117280,,
06/1966,,88079,,
07/1966,,59211,,
08/1966,,43777,,
09/1966,,34979,,
10/1966,,24934,,
11/1966,,30847,,
12/1966,,78585,,
01/1967,,76477,,
02/1967,,67937,,
03/1967,,103810,,
04/1967,,129926,,
05/1967,,140637,,
06/1967,,131037,,
07/1967,,98457,,
08/1967,,63589,,
09/1967,,31562,,
10/1967,,25429,,
11/1967,,24781,,
12/1967,,26757,,
01/1968,,60203,,
02/1968,,53964,,
03/1968,,88490,,
04/1968,,77257,,
05/1968,,60407,,
06/1968,,48072,,
07/1968,,38966,,
08/1968,,28437,,
09/1968,,25104,,
10/1968,,18592,,
11/1968,,18063,,
12/1968,,41169,,
01/1969,,25073,,
02/1969,,37343,,
03/1969,,83002,,
04/1969,,135459,,
05/1969,,127604,,
06/1969,,97846,,
07/1969,,64201,,
08/1969,,32533,,
09/1969,,24919,,
10/1969,,21699,,
11/1969,,18913,,
12/1969,,60459,,
01/1970,,89906,,
02/1970,,--,,
03/1970,,77347,,
04/1970,,76089,,
05/1970,,69451,,
06/1970,,55452,,
07/1970,,46283,,
08/1970,,41756,,
09/1970,,26469,,
10/1970,,16461,,
11/1970,,33609,,
12/1970,,54059,,
01/1971,,58582,,
02/1971,,87787,,
03/1971,,126278,,
04/1971,,113689,,
05/1971,,101788,,
06/1971,,67521,,
07/1971,,50085,,
08/1971,,42328,,
09/1971,,29309,,
10/1971,,18592,,
11/1971,,19897,,
12/1971,,24293,,
01/1972,,39574,,
02/1972,,54393,,
03/1972,,76627,,
04/1972,,74810,,
05/1972,,77137,,
06/1972,,75463,,
07/1972,,55138,,
08/1972,,39870,,
09/1972,,33808,,
10/1972,,20058,,
11/1972,,40247,,
12/1972,,60741,,
01/1973,,51803,,
02/1973,,84062,,
03/1973,,107741,,
04/1973,,136558,,
05/1973,,92741,,
06/1973,,62822,,
07/1973,,50905,,
08/1973,,41310,,
09/1973,,31597,,
10/1973,,24278,,
11/1973,,23587,,
12/1973,,30296,,
01/1974,,38324,,
02/1974,,69649,,
03/1974,,89842,,
04/1974,,119047,,
05/1974,,114537,,
06/1974,,90651,,
07/1974,,60690,,
08/1974,,44871,,
09/1974,,39338,,
10/1974,,24280,,
11/1974,,23590,,
12/1974,,30300,,
01/1975,,38320,,
02/1975,,69650,,
03/1975,,89840,,
04/1975,,119050,,
05/1975,,114540,,
06/1975,,90650,,
07/1975,,60690,,
08/1975,,44870,,
09/1975,,39340,,
10/1975,,27204,,
11/1975,,26170,,
12/1975,,25285,,
01/1976,,23368,,
02/1976,,26851,,
03/1976,,32207,,
04/1976,,56932,,
05/1976,,64738,,
06/1976,,53911,,
07/1976,,41713,,
08/1976,,32351,,
09/1976,,20688,,
10/1976,,13215,,
11/1976,,11573,,
