Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
05/1957,,80220,,
06/1957,,97370,,
07/1957,,85400,,
08/1957,,59700,,
09/1957,,34080,,
10/1957,,3960,,
11/1957,,5550,,
12/1957,,30580,,
01/1958,,53220,,
02/1958,,69240,,
03/1958,,74890,,
04/1958,,86220,,
05/1958,,97660,,
06/1958,,97370,,
07/1958,,98090,,
08/1958,,95650,,
09/1958,,91340,,
10/1958,,71600,,
11/1958,,71900,,
12/1958,,67200,,
01/1959,,59600,,
02/1959,,50700,,
03/1959,,39600,,
04/1959,,54100,,
05/1959,,81700,,
06/1959,,96300,,
07/1959,,75700,,
08/1959,,46100,,
09/1959,,23200,,
10/1959,,21400,,
11/1959,,21300,,
12/1959,,23300,,
01/1960,,27400,,
02/1960,,34100,,
03/1960,,29200,,
04/1960,,51600,,
05/1960,,91300,,
06/1960,,96700,,
07/1960,,93800,,
08/1960,,92700,,
09/1960,,90500,,
10/1960,,78200,,
11/1960,,56100,,
12/1960,,35800,,
01/1961,,24000,,
02/1961,,28400,,
03/1961,,39900,,
04/1961,,35300,,
05/1961,,44700,,
06/1961,,59600,,
07/1961,,69400,,
08/1961,,56800,,
09/1961,,42900,,
10/1961,,43670,,
11/1961,,39570,,
12/1961,,28600,,
01/1962,,20620,,
02/1962,,25160,,
03/1962,,24040,,
04/1962,,68730,,
05/1962,,97370,,
06/1962,,98230,,
07/1962,,96800,,
08/1962,,95440,,
09/1962,,88140,,
10/1962,,71190,,
11/1962,,65380,,
12/1962,,64830,,
01/1963,,72530,,
02/1963,,57020,,
03/1963,,76990,,
04/1963,,95150,,
05/1963,,98090,,
06/1963,,97730,,
07/1963,,97080,,
08/1963,,90570,,
09/1963,,83030,,
10/1963,,72980,,
11/1963,,53680,,
12/1963,,51640,,
01/1964,,40300,,
02/1964,,39320,,
03/1964,,44530,,
04/1964,,55470,,
05/1964,,84450,,
06/1964,,97800,,
07/1964,,89940,,
08/1964,,82560,,
09/1964,,77310,,
10/1964,,80220,,
11/1964,,53280,,
12/1964,,78500,,
01/1965,,78360,,
02/1965,,76790,,
03/1965,,78360,,
04/1965,,78830,,
05/1965,,97590,,
06/1965,,97810,,
07/1965,,97800,,
08/1965,,96940,,
09/1965,,87180,,
