Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
01/1976,,673,,
02/1976,,2433,,
03/1976,,4296,,
04/1976,,5511,,
05/1976,,5634,,
06/1976,,4753,,
07/1976,,3949,,
08/1976,,2231,,
09/1976,,2157,,
10/1976,,2141,,
11/1976,,2201,,
12/1976,,2342,,
01/1977,,2779,,
02/1977,,3029,,
03/1977,,3059,,
04/1977,,2795,,
05/1977,,2567,,
06/1977,,2471,,
07/1977,,2297,,
08/1977,,2159,,
09/1977,,2059,,
10/1977,,1996,,
11/1977,,1987,,
12/1977,,4991,,
01/1978,,35351,,
02/1978,,88367,,
03/1978,,132248,,
04/1978,,136255,,
05/1978,,143941,,
06/1978,,143106,,
07/1978,,133532,,
08/1978,,113861,,
09/1978,,108018,,
10/1978,,107433,,
11/1978,,106700,,
12/1978,,107718,,
01/1979,,109979,,
02/1979,,125422,,
03/1979,,133064,,
04/1979,,142413,,
05/1979,,145635,,
06/1979,,139658,,
07/1979,,128369,,
08/1979,,118452,,
09/1979,,103984,,
10/1979,,99471,,
11/1979,,99963,,
12/1979,,100529,,
01/1980,,107657,,
02/1980,,107973,,
03/1980,,123135,,
04/1980,,128336,,
05/1980,,130375,,
06/1980,,127812,,
07/1980,,117089,,
08/1980,,108891,,
09/1980,,98779,,
10/1980,,98275,,
11/1980,,98189,,
12/1980,,98807,,
01/1981,,103909,,
02/1981,,105999,,
03/1981,,107807,,
04/1981,,110707,,
05/1981,,110905,,
06/1981,,96657,,
07/1981,,56356,,
08/1981,,18989,,
09/1981,,10976,,
10/1981,,10890,,
11/1981,,12249,,
12/1981,,15171,,
01/1982,,48402,,
02/1982,,77223,,
03/1982,,120346,,
04/1982,,140430,,
05/1982,,142171,,
06/1982,,136069,,
07/1982,,123119,,
08/1982,,107553,,
09/1982,,106297,,
10/1982,,105850,,
11/1982,,109268,,
12/1982,,108514,,
01/1983,,111530,,
02/1983,,114308,,
03/1983,,116153,,
04/1983,,140327,,
05/1983,,143766,,
06/1983,,144202,,
07/1983,,136103,,
08/1983,,118484,,
09/1983,,114339,,
10/1983,,104648,,
11/1983,,107538,,
12/1983,,115671,,
01/1984,,113784,,
02/1984,,122718,,
03/1984,,120615,,
04/1984,,109676,,
05/1984,,82987,,
06/1984,,48168,,
07/1984,,28602,,
08/1984,,25102,,
09/1984,,24562,,
10/1984,,21208,,
11/1984,,22918,,
12/1984,,24500,,
01/1985,,25958,,
02/1985,,30846,,
03/1985,,37157,,
04/1985,,40016,,
05/1985,,40232,,
06/1985,,25671,,
07/1985,,11043,,
08/1985,,10740,,
09/1985,,10546,,
10/1985,,10423,,
11/1985,,11169,,
12/1985,,13250,,
01/1986,,15086,,
02/1986,,85119,,
03/1986,,124695,,
04/1986,,129534,,
05/1986,,130077,,
06/1986,,122255,,
07/1986,,110617,,
08/1986,,102865,,
09/1986,,101431,,
10/1986,,92110,,
11/1986,,91950,,
12/1986,,92280,,
01/1987,,92910,,
02/1987,,95590,,
03/1987,,100540,,
04/1987,,101150,,
05/1987,,99330,,
06/1987,,81844,,
07/1987,,66746,,
08/1987,,40655,,
09/1987,,30293,,
10/1987,,30104,,
11/1987,,29984,,
12/1987,,30336,,
01/1988,,31690,,
02/1988,,32189,,
03/1988,,33188,,
04/1988,,34339,,
05/1988,,34284,,
06/1988,,33657,,
07/1988,,31221,,
08/1988,,11277,,
09/1988,,10931,,
10/1988,,10775,,
11/1988,,10775,,
12/1988,,11318,,
01/1989,,11966,,
02/1989,,13273,,
03/1989,,18300,,
04/1989,,19256,,
05/1989,,19236,,
06/1989,,17802,,
07/1989,,10685,,
08/1989,,10349,,
09/1989,,10184,,
10/1989,,10092,,
11/1989,,10087,,
12/1989,,10203,,
01/1990,,11093,,
02/1990,,12433,,
03/1990,,13888,,
04/1990,,14219,,
05/1990,,14242,,
06/1990,,13894,,
07/1990,,10092,,
08/1990,,9763,,
09/1990,,9528,,
10/1990,,9328,,
11/1990,,9232,,
12/1990,,9209,,
01/1991,,9204,,
02/1991,,9379,,
03/1991,,25417,,
04/1991,,28093,,
05/1991,,28468,,
06/1991,,17861,,
07/1991,,10640,,
08/1991,,10330,,
09/1991,,10102,,
10/1991,,9958,,
11/1991,,9876,,
12/1991,,10025,,
01/1992,,10680,,
02/1992,,23008,,
03/1992,,26788,,
04/1992,,28168,,
05/1992,,27977,,
06/1992,,27482,,
07/1992,,12811,,
08/1992,,10403,,
09/1992,,10165,,
10/1992,,10029,,
11/1992,,9967,,
12/1992,,11687,,
01/1993,,59221,,
02/1993,,79487,,
03/1993,,99010,,
04/1993,,108123,,
05/1993,,110404,,
06/1993,,107358,,
07/1993,,97716,,
08/1993,,91877,,
09/1993,,87301,,
10/1993,,85781,,
11/1993,,85618,,
12/1993,,86105,,
01/1994,,86716,,
02/1994,,89095,,
03/1994,,89921,,
04/1994,,90530,,
05/1994,,77598,,
06/1994,,59603,,
07/1994,,38148,,
08/1994,,29200,,
09/1994,,28787,,
10/1994,,--,,
11/1994,,28644,,
12/1994,,29200,,
01/1995,,63940,,
02/1995,,71911,,
03/1995,,130259,,
04/1995,,140722,,
05/1995,,144045,,
06/1995,,132397,,
07/1995,,121474,,
08/1995,,114818,,
09/1995,,106760,,
10/1995,,106044,,
11/1995,,99659,,
12/1995,,99486,,
01/1996,,105182,,
02/1996,,121124,,
03/1996,,121203,,
04/1996,,130970,,
05/1996,,133900,,
06/1996,,132131,,
07/1996,,112401,,
08/1996,,97572,,
09/1996,,91655,,
10/1996,,82628,,
11/1996,,89645,,
12/1996,,112294,,
01/1997,,123890,,
02/1997,,113630,,
03/1997,,120647,,
04/1997,,124421,,
05/1997,,124937,,
06/1997,,120885,,
07/1997,,108574,,
08/1997,,95179,,
09/1997,,92870,,
10/1997,,80155,,
11/1997,,80471,,
12/1997,,81592,,
01/1998,,102660,,
02/1998,,111866,,
03/1998,,125390,,
04/1998,,131932,,
05/1998,,138991,,
06/1998,,138070,,
07/1998,,126720,,
08/1998,,95548,,
09/1998,,88710,,
10/1998,,78612,,
11/1998,,79316,,
12/1998,,80747,,
01/1999,,85780,,
02/1999,,97931,,
03/1999,,102616,,
04/1999,,110237,,
05/1999,,108725,,
06/1999,,89012,,
07/1999,,76526,,
08/1999,,72451,,
09/1999,,70511,,
10/1999,,64021,,
11/1999,,63925,,
12/1999,,63997,,
01/2000,,70002,,
02/2000,,111210,,
03/2000,,122655,,
04/2000,,128713,,
05/2000,,128811,,
06/2000,,118798,,
07/2000,,102293,,
08/2000,,85564,,
09/2000,,80155,,
10/2000,,71160,,
11/2000,,71185,,
12/2000,,71460,,
01/2001,,73461,,
02/2001,,78338,,
03/2001,,80326,,
04/2001,,77598,,
05/2001,,77171,,
06/2001,,58758,,
07/2001,,39198,,
08/2001,,23401,,
09/2001,,15598,,
10/2001,,15408,,
11/2001,,15536,,
12/2001,,21477,,
01/2002,,26812,,
02/2002,,29158,,
03/2002,,32580,,
04/2002,,33830,,
05/2002,,34202,,
06/2002,,26423,,
07/2002,,16307,,
08/2002,,10492,,
09/2002,,10262,,
10/2002,,10092,,
11/2002,,10865,,
12/2002,,16770,,
01/2003,,19845,,
02/2003,,21630,,
03/2003,,24383,,
04/2003,,28611,,
05/2003,,31968,,
06/2003,,26415,,
07/2003,,18982,,
08/2003,,17901,,
09/2003,,17552,,
10/2003,,17220,,
11/2003,,17091,,
12/2003,,17980,,
01/2004,,20964,,
02/2004,,28770,,
03/2004,,32455,,
04/2004,,32937,,
05/2004,,32589,,
06/2004,,25639,,
07/2004,,11634,,
08/2004,,10815,,
09/2004,,10541,,
10/2004,,11447,,
11/2004,,12073,,
12/2004,,20985,,
01/2005,,70487,,
02/2005,,93178,,
03/2005,,127845,,
