Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1968,,21240,,
11/1968,,27200,,
12/1968,,29560,,
01/1969,,267000,,
02/1969,,116000,,
03/1969,,140000,,
04/1969,,212000,,
05/1969,,346000,,
06/1969,,510000,,
07/1969,,541020,,
08/1969,,547310,,
09/1969,,550850,,
10/1969,,565960,,
11/1969,,572720,,
12/1969,,742180,,
01/1970,,890000,,
02/1970,,881990,,
03/1970,,885300,,
04/1970,,935470,,
05/1970,,928060,,
06/1970,,923950,,
07/1970,,885800,,
08/1970,,796270,,
09/1970,,690540,,
10/1970,,580920,,
11/1970,,519290,,
12/1970,,510000,,
01/1971,,466950,,
02/1971,,442460,,
03/1971,,641870,,
04/1971,,757460,,
05/1971,,928620,,
06/1971,,960340,,
07/1971,,866490,,
08/1971,,724460,,
09/1971,,605510,,
10/1971,,528270,,
11/1971,,465600,,
12/1971,,389710,,
01/1972,,357740,,
02/1972,,411920,,
03/1972,,614810,,
04/1972,,761000,,
05/1972,,862000,,
06/1972,,881990,,
07/1972,,825000,,
08/1972,,713620,,
09/1972,,594570,,
10/1972,,467280,,
11/1972,,393490,,
12/1972,,373760,,
01/1973,,496480,,
02/1973,,530550,,
03/1973,,538230,,
04/1973,,629580,,
05/1973,,818400,,
06/1973,,845840,,
07/1973,,790480,,
08/1973,,702800,,
09/1973,,615140,,
10/1973,,523270,,
11/1973,,674160,,
12/1973,,693090,,
01/1974,,795220,,
02/1974,,735890,,
03/1974,,899000,,
04/1974,,847380,,
05/1974,,953240,,
06/1974,,939280,,
07/1974,,851350,,
08/1974,,722360,,
09/1974,,736540,,
10/1974,,728770,,
11/1974,,638000,,
12/1974,,459000,,
01/1975,,363880,,
02/1975,,476670,,
03/1975,,623200,,
04/1975,,617650,,
05/1975,,895800,,
06/1975,,964760,,
07/1975,,899690,,
08/1975,,759840,,
09/1975,,617070,,
10/1975,,498200,,
11/1975,,391000,,
12/1975,,295320,,
01/1976,,273070,,
02/1976,,295880,,
03/1976,,346900,,
04/1976,,387290,,
05/1976,,417660,,
06/1976,,405920,,
07/1976,,379480,,
08/1976,,364220,,
09/1976,,343670,,
10/1976,,312434,,
11/1976,,284600,,
12/1976,,266330,,
01/1977,,269688,,
02/1977,,281336,,
03/1977,,296441,,
04/1977,,289188,,
05/1977,,311389,,
06/1977,,299820,,
07/1977,,279217,,
08/1977,,261905,,
