Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1974,,119640,,
11/1974,,114840,,
12/1974,,114370,,
01/1975,,160310,,
02/1975,,194720,,
03/1975,,222410,,
04/1975,,202760,,
05/1975,,169460,,
06/1975,,164000,,
07/1975,,169930,,
08/1975,,185710,,
09/1975,,189200,,
10/1975,,208330,,
11/1975,,222790,,
12/1975,,236250,,
01/1976,,257120,,
02/1976,,263040,,
03/1976,,285750,,
04/1976,,283270,,
05/1976,,267020,,
06/1976,,236620,,
07/1976,,237370,,
08/1976,,227910,,
09/1976,,237180,,
10/1976,,211680,,
11/1976,,196070,,
12/1976,,160920,,
01/1977,,136800,,
02/1977,,120690,,
03/1977,,108490,,
04/1977,,93720,,
05/1977,,86490,,
06/1977,,77170,,
07/1977,,64450,,
08/1977,,60720,,
09/1977,,58460,,
10/1977,,55880,,
11/1977,,53040,,
12/1977,,51040,,
01/1978,,87710,,
02/1978,,185380,,
03/1978,,303090,,
04/1978,,318590,,
05/1978,,314170,,
06/1978,,309360,,
07/1978,,294130,,
08/1978,,277110,,
09/1978,,--,,
10/1978,,246660,,
11/1978,,273860,,
12/1978,,293710,,
01/1979,,292450,,
02/1979,,306110,,
03/1979,,318360,,
04/1979,,318360,,
05/1979,,317920,,
06/1979,,297530,,
07/1979,,278750,,
08/1979,,260040,,
09/1979,,270430,,
10/1979,,266620,,
11/1979,,269830,,
12/1979,,283680,,
01/1980,,299020,,
02/1980,,319910,,
03/1980,,318800,,
04/1980,,317920,,
05/1980,,313510,,
06/1980,,296890,,
07/1980,,305240,,
08/1980,,292030,,
09/1980,,262040,,
10/1980,,236430,,
11/1980,,226070,,
12/1980,,214700,,
01/1981,,210970,,
02/1981,,238740,,
03/1981,,287570,,
04/1981,,278730,,
05/1981,,278730,,
06/1981,,247890,,
07/1981,,212440,,
08/1981,,171000,,
09/1981,,160470,,
10/1981,,180950,,
11/1981,,211890,,
12/1981,,252170,,
01/1982,,279930,,
02/1982,,304940,,
03/1982,,307190,,
04/1982,,308230,,
05/1982,,317760,,
06/1982,,317940,,
07/1982,,303600,,
08/1982,,285490,,
09/1982,,284680,,
10/1982,,291040,,
11/1982,,301950,,
12/1982,,313160,,
01/1983,,315870,,
02/1983,,320220,,
03/1983,,319850,,
04/1983,,322090,,
05/1983,,313450,,
06/1983,,297490,,
07/1983,,293080,,
08/1983,,272900,,
09/1983,,283190,,
10/1983,,276970,,
11/1983,,276110,,
12/1983,,270730,,
01/1984,,262180,,
02/1984,,255130,,
03/1984,,228940,,
04/1984,,214520,,
05/1984,,189930,,
06/1984,,164720,,
07/1984,,150010,,
08/1984,,113660,,
09/1984,,84290,,
10/1984,,67310,,
11/1984,,115640,,
12/1984,,133380,,
01/1985,,196490,,
02/1985,,255280,,
03/1985,,273150,,
04/1985,,280610,,
05/1985,,262560,,
06/1985,,244650,,
07/1985,,226750,,
08/1985,,200460,,
09/1985,,199590,,
10/1985,,208680,,
11/1985,,232820,,
12/1985,,270610,,
01/1986,,291710,,
02/1986,,321250,,
