Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1964,,38320,,
11/1964,,49700,,
12/1964,,224370,,
01/1965,,263120,,
02/1965,,285350,,
03/1965,,308040,,
04/1965,,303560,,
05/1965,,273390,,
06/1965,,292940,,
07/1965,,287080,,
08/1965,,284980,,
09/1965,,280680,,
10/1965,,191890,,
11/1965,,133350,,
12/1965,,132550,,
01/1966,,130570,,
02/1966,,127740,,
03/1966,,118940,,
04/1966,,131480,,
05/1966,,107450,,
06/1966,,84140,,
07/1966,,70710,,
08/1966,,69850,,
09/1966,,70600,,
10/1966,,70100,,
11/1966,,73280,,
12/1966,,112320,,
01/1967,,155890,,
02/1967,,207900,,
03/1967,,272120,,
04/1967,,312490,,
05/1967,,313920,,
06/1967,,400140,,
07/1967,,423070,,
08/1967,,381650,,
09/1967,,323220,,
10/1967,,274470,,
11/1967,,274540,,
12/1967,,294760,,
01/1968,,305220,,
02/1968,,300440,,
03/1968,,315160,,
04/1968,,296890,,
05/1968,,277630,,
06/1968,,257310,,
07/1968,,238430,,
08/1968,,225400,,
09/1968,,218980,,
10/1968,,214140,,
11/1968,,225460,,
12/1968,,244580,,
01/1969,,306690,,
02/1969,,275440,,
03/1969,,239610,,
04/1969,,242030,,
05/1969,,310360,,
06/1969,,390590,,
07/1969,,374380,,
08/1969,,336890,,
09/1969,,304390,,
10/1969,,264660,,
11/1969,,264540,,
12/1969,,282700,,
01/1970,,298980,,
02/1970,,233470,,
03/1970,,258770,,
04/1970,,278780,,
05/1970,,319010,,
06/1970,,371500,,
07/1970,,343250,,
08/1970,,311900,,
09/1970,,288500,,
10/1970,,276960,,
11/1970,,288630,,
12/1970,,296710,,
01/1971,,300820,,
02/1971,,298980,,
03/1971,,311780,,
04/1971,,323220,,
05/1971,,335140,,
06/1971,,365550,,
07/1971,,347340,,
08/1971,,340190,,
09/1971,,312820,,
10/1971,,274230,,
11/1971,,274230,,
12/1971,,288000,,
01/1972,,296830,,
02/1972,,295130,,
03/1972,,318560,,
04/1972,,308560,,
05/1972,,297270,,
06/1972,,299300,,
07/1972,,274660,,
08/1972,,254860,,
09/1972,,246170,,
10/1972,,246290,,
11/1972,,265730,,
12/1972,,279700,,
01/1973,,273810,,
02/1973,,287640,,
03/1973,,314310,,
04/1973,,340470,,
05/1973,,387690,,
06/1973,,401910,,
07/1973,,366890,,
08/1973,,333330,,
09/1973,,316790,,
10/1973,,304450,,
11/1973,,258070,,
12/1973,,268640,,
01/1974,,256380,,
02/1974,,286830,,
03/1974,,322100,,
04/1974,,336480,,
05/1974,,373520,,
06/1974,,403300,,
07/1974,,384380,,
08/1974,,364640,,
09/1974,,336480,,
10/1974,,303630,,
11/1974,,290800,,
12/1974,,286800,,
01/1975,,293440,,
02/1975,,321300,,
03/1975,,335700,,
04/1975,,335000,,
05/1975,,354400,,
06/1975,,398800,,
07/1975,,388000,,
08/1975,,360600,,
09/1975,,337500,,
10/1975,,308600,,
11/1975,,289900,,
12/1975,,295400,,
01/1976,,301100,,
02/1976,,297970,,
03/1976,,288690,,
04/1976,,275700,,
05/1976,,257100,,
06/1976,,235900,,
07/1976,,215200,,
08/1976,,198000,,
09/1976,,185800,,
10/1976,,177600,,
11/1976,,174010,,
12/1976,,170300,,
01/1977,,168000,,
02/1977,,160210,,
03/1977,,146280,,
04/1977,,131400,,
05/1977,,119360,,
06/1977,,102240,,
07/1977,,82620,,
08/1977,,65820,,
09/1977,,54740,,
10/1977,,52470,,
11/1977,,47560,,
12/1977,,43010,,
01/1978,,71700,,
02/1978,,116600,,
03/1978,,168190,,
04/1978,,219410,,
05/1978,,275800,,
06/1978,,384500,,
07/1978,,388340,,
08/1978,,365980,,
09/1978,,338370,,
10/1978,,306820,,
11/1978,,295010,,
12/1978,,293250,,
01/1979,,310300,,
02/1979,,323090,,
03/1979,,336010,,
04/1979,,375650,,
05/1979,,423070,,
06/1979,,418780,,
07/1979,,397140,,
08/1979,,365770,,
09/1979,,343180,,
10/1979,,317440,,
11/1979,,296010,,
12/1979,,297080,,
01/1980,,289810,,
02/1980,,292060,,
03/1980,,271640,,
04/1980,,290000,,
05/1980,,306820,,
06/1980,,340660,,
07/1980,,351380,,
08/1980,,338500,,
09/1980,,324210,,
10/1980,,297970,,
11/1980,,284980,,
12/1980,,277200,,
01/1981,,292500,,
02/1981,,300880,,
03/1981,,324540,,
04/1981,,326060,,
05/1981,,313920,,
06/1981,,296010,,
07/1981,,288690,,
08/1981,,277140,,
09/1981,,255970,,
10/1981,,261000,,
11/1981,,275630,,
12/1981,,274050,,
01/1982,,253120,,
02/1982,,296890,,
03/1982,,313340,,
04/1982,,349120,,
05/1982,,380220,,
06/1982,,420050,,
07/1982,,392690,,
08/1982,,374520,,
09/1982,,349670,,
10/1982,,310690,,
11/1982,,267090,,
12/1982,,264420,,
01/1983,,288010,,
02/1983,,296390,,
03/1983,,305220,,
04/1983,,258180,,
05/1983,,265960,,
06/1983,,403010,,
07/1983,,413360,,
08/1983,,396550,,
09/1983,,352560,,
10/1983,,304000,,
11/1983,,274290,,
12/1983,,262170,,
01/1984,,236580,,
02/1984,,249320,,
03/1984,,266680,,
04/1984,,286460,,
05/1984,,364430,,
06/1984,,407220,,
07/1984,,405590,,
08/1984,,387620,,
09/1984,,350080,,
10/1984,,321440,,
11/1984,,309590,,
12/1984,,298220,,
01/1985,,295820,,
02/1985,,290810,,
03/1985,,316010,,
04/1985,,346650,,
05/1985,,318880,,
06/1985,,298030,,
07/1985,,273030,,
08/1985,,253530,,
09/1985,,246120,,
10/1985,,256900,,
11/1985,,267630,,
12/1985,,285470,,
01/1986,,303810,,
02/1986,,410780,,
03/1986,,335470,,
04/1986,,299110,,
05/1986,,361500,,
06/1986,,411750,,
07/1986,,390010,,
08/1986,,358920,,
09/1986,,336420,,
10/1986,,317050,,
11/1986,,297270,,
12/1986,,275690,,
01/1987,,257890,,
02/1987,,251160,,
03/1987,,245150,,
04/1987,,229940,,
05/1987,,208320,,
06/1987,,184200,,
07/1987,,159280,,
08/1987,,136610,,
09/1987,,117930,,
10/1987,,109080,,
11/1987,,104200,,
12/1987,,99430,,
01/1988,,108520,,
02/1988,,110440,,
03/1988,,99400,,
04/1988,,88330,,
05/1988,,76260,,
06/1988,,57960,,
07/1988,,37670,,
08/1988,,22670,,
09/1988,,9630,,
