Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1970,,145340,,
11/1970,,242450,,
12/1970,,281970,,
01/1971,,295950,,
02/1971,,314480,,
03/1971,,341570,,
04/1971,,370050,,
05/1971,,404830,,
06/1971,,489480,,
07/1971,,439380,,
08/1971,,369420,,
09/1971,,364750,,
10/1971,,341190,,
11/1971,,384540,,
12/1971,,409830,,
01/1972,,511080,,
02/1972,,576020,,
03/1972,,542420,,
04/1972,,541920,,
05/1972,,559830,,
06/1972,,508160,,
07/1972,,437630,,
08/1972,,376490,,
09/1972,,362430,,
10/1972,,343060,,
11/1972,,359730,,
12/1972,,412340,,
01/1973,,541920,,
02/1973,,700790,,
03/1973,,873100,,
04/1973,,963530,,
05/1973,,1055600,,
06/1973,,1171550,,
07/1973,,1056400,,
08/1973,,959080,,
09/1973,,913080,,
10/1973,,905350,,
11/1973,,976210,,
12/1973,,1078760,,
01/1974,,1171550,,
02/1974,,1228860,,
03/1974,,1352530,,
04/1974,,1472240,,
05/1974,,1615020,,
06/1974,,1792740,,
07/1974,,1710640,,
08/1974,,1588010,,
09/1974,,1461120,,
10/1974,,1403570,,
11/1974,,1366830,,
12/1974,,1312170,,
01/1975,,1258270,,
02/1975,,1351580,,
03/1975,,1476290,,
04/1975,,1537120,,
05/1975,,1630300,,
06/1975,,1847910,,
07/1975,,1762340,,
08/1975,,1676820,,
09/1975,,1596620,,
10/1975,,1539220,,
11/1975,,1505960,,
12/1975,,1448060,,
01/1976,,1386080,,
02/1976,,1377400,,
03/1976,,1276360,,
04/1976,,1164740,,
05/1976,,1115360,,
06/1976,,984480,,
07/1976,,845040,,
08/1976,,727980,,
09/1976,,686570,,
10/1976,,670110,,
11/1976,,655147,,
12/1976,,635324,,
01/1977,,619177,,
02/1977,,614218,,
03/1977,,581829,,
04/1977,,524368,,
05/1977,,525361,,
06/1977,,458063,,
07/1977,,383248,,
08/1977,,319623,,
09/1977,,306790,,
10/1977,,303949,,
11/1977,,322140,,
12/1977,,364751,,
01/1978,,549037,,
02/1978,,744743,,
03/1978,,1025024,,
04/1978,,1205178,,
05/1978,,1271234,,
06/1978,,1610675,,
07/1978,,1661185,,
08/1978,,1570906,,
09/1978,,1575169,,
10/1978,,1562408,,
11/1978,,1525639,,
12/1978,,1506988,,
01/1979,,1536076,,
02/1979,,1564529,,
03/1979,,1612846,,
04/1979,,1631394,,
05/1979,,1825925,,
06/1979,,1876601,,
07/1979,,1755379,,
08/1979,,1647894,,
09/1979,,1606339,,
10/1979,,1566653,,
11/1979,,1568884,,
12/1979,,1596615,,
01/1980,,1697054,,
02/1980,,1753064,,
03/1980,,1624829,,
04/1980,,1589084,,
05/1980,,1726630,,
06/1980,,1812830,,
07/1980,,1935869,,
08/1980,,1864438,,
09/1980,,1743826,,
10/1980,,1676822,,
11/1980,,1619374,,
12/1980,,1544465,,
01/1981,,1501838,,
02/1981,,1480357,,
03/1981,,1493627,,
04/1981,,1464148,,
05/1981,,1458106,,
06/1981,,1376427,,
07/1981,,1257375,,
08/1981,,1158799,,
09/1981,,1119487,,
10/1981,,1125281,,
11/1981,,1182855,,
12/1981,,1300151,,
01/1982,,1483411,,
02/1982,,1655637,,
03/1982,,1719750,,
04/1982,,1782169,,
05/1982,,1803352,,
06/1982,,2005528,,
07/1982,,2002962,,
08/1982,,1881784,,
09/1982,,1747286,,
10/1982,,1647894,,
11/1982,,1712917,,
12/1982,,1684668,,
01/1983,,1686915,,
02/1983,,1730037,,
03/1983,,1885153,,
04/1983,,1672350,,
05/1983,,1470210,,
06/1983,,1831901,,
07/1983,,2017109,,
08/1983,,1934620,,
09/1983,,1704972,,
10/1983,,1521479,,
11/1983,,1688039,,
12/1983,,1766990,,
01/1984,,1618284,,
02/1984,,1526680,,
03/1984,,1434102,,
04/1984,,1424199,,
05/1984,,1617196,,
06/1984,,1741522,,
07/1984,,1651209,,
08/1984,,1456568,,
09/1984,,1512151,,
10/1984,,1504926,,
11/1984,,1522522,,
12/1984,,1485450,,
01/1985,,1496702,,
02/1985,,1537123,,
03/1985,,1545516,,
04/1985,,1555000,,
05/1985,,1536076,,
06/1985,,1459111,,
07/1985,,1327080,,
08/1985,,1238612,,
09/1985,,1213036,,
10/1985,,1199959,,
11/1985,,1206921,,
12/1985,,1218296,,
01/1986,,1310316,,
02/1986,,1720891,,
03/1986,,1722032,,
04/1986,,1596615,,
05/1986,,1733477,,
06/1986,,1854751,,
07/1986,,1798628,,
08/1986,,1714055,,
09/1986,,1672350,,
10/1986,,1615000,,
11/1986,,1603100,,
12/1986,,1524600,,
01/1987,,1522500,,
02/1987,,1524600,,
03/1987,,1527700,,
04/1987,,1441100,,
05/1987,,1349700,,
06/1987,,1237724,,
07/1987,,1117836,,
08/1987,,993557,,
09/1987,,933500,,
10/1987,,911042,,
11/1987,,877256,,
12/1987,,875868,,
01/1988,,940700,,
02/1988,,983725,,
03/1988,,916763,,
04/1988,,931177,,
05/1988,,963526,,
06/1988,,1003400,,
07/1988,,937000,,
08/1988,,920351,,
09/1988,,930453,,
10/1988,,961300,,
11/1988,,992800,,
12/1988,,1023472,,
01/1989,,1057190,,
02/1989,,1098157,,
03/1989,,1183542,,
04/1989,,1175823,,
05/1989,,1224458,,
06/1989,,1280002,,
07/1989,,1170697,,
08/1989,,1086015,,
09/1989,,1070733,,
10/1989,,1102000,,
11/1989,,1135000,,
12/1989,,1167000,,
01/1990,,1210000,,
02/1990,,1262000,,
03/1990,,1297000,,
04/1990,,1289000,,
05/1990,,1249000,,
06/1990,,1221000,,
07/1990,,1096000,,
08/1990,,998100,,
09/1990,,992000,,
10/1990,,974711,,
11/1990,,1011123,,
12/1990,,1020375,,
01/1991,,1004988,,
02/1991,,993557,,
03/1991,,1066737,,
04/1991,,1085207,,
05/1991,,1121968,,
06/1991,,1134428,,
07/1991,,1050068,,
08/1991,,968734,,
09/1991,,946554,,
10/1991,,934079,,
11/1991,,953170,,
12/1991,,976959,,
01/1992,,1004223,,
02/1992,,1078757,,
03/1992,,1159646,,
04/1992,,1158799,,
05/1992,,1100603,,
06/1992,,1017285,,
07/1992,,911756,,
08/1992,,814974,,
09/1992,,776748,,
10/1992,,748700,,
11/1992,,758400,,
12/1992,,815900,,
01/1993,,1064000,,
02/1993,,1234000,,
03/1993,,1476000,,
04/1993,,1595000,,
05/1993,,1776000,,
06/1993,,1966000,,
07/1993,,1954000,,
08/1993,,1808000,,
09/1993,,1690000,,
10/1993,,1609590,,
11/1993,,1599851,,
12/1993,,1589084,,
01/1994,,1569842,,
02/1994,,1591233,,
03/1994,,1633586,,
04/1994,,1613933,,
05/1994,,1650103,,
06/1994,,1577303,,
07/1994,,1453063,,
08/1994,,1325209,,
09/1994,,1270912,,
10/1994,,1255000,,
11/1994,,1318000,,
12/1994,,1412000,,
01/1995,,1671000,,
02/1995,,1622000,,
03/1995,,1812000,,
04/1995,,1674000,,
05/1995,,1731000,,
06/1995,,1810000,,
07/1995,,2024000,,
08/1995,,1947000,,
09/1995,,1772000,,
10/1995,,1624000,,
11/1995,,1607000,,
12/1995,,1633000,,
01/1996,,1691000,,
02/1996,,1735000,,
03/1996,,1703000,,
04/1996,,1724000,,
05/1996,,1849000,,
06/1996,,1960000,,
07/1996,,1875000,,
08/1996,,1749000,,
09/1996,,1690000,,
10/1996,,1624829,,
11/1996,,1677941,,
12/1996,,1799808,,
01/1997,,1880262,,
02/1997,,1633586,,
03/1997,,1594960,,
04/1997,,1625924,,
05/1997,,1763500,,
06/1997,,1864438,,
07/1997,,1744978,,
08/1997,,1633568,,
09/1997,,1588010,,
10/1997,,1550780,,
11/1997,,1536076,,
12/1997,,1542365,,
01/1998,,1618284,,
02/1998,,1677941,,
03/1998,,1667862,,
04/1998,,1625922,,
05/1998,,1695925,,
06/1998,,1919682,,
07/1998,,2017109,,
08/1998,,1864438,,
09/1998,,1714055,,
10/1998,,1632490,,
11/1998,,1653422,,
12/1998,,1641584,,
01/1999,,1656746,,
02/1999,,1664521,,
03/1999,,1644584,,
04/1999,,1656746,,
05/1999,,1795091,,
06/1999,,1958457,,
07/1999,,1860800,,
08/1999,,1717470,,
09/1999,,1636830,,
10/1999,,1579000,r,
11/1999,,1559000,r,
12/1999,,1529000,r,
01/2000,,1590000,r,
02/2000,,1735000,r,
03/2000,,1704000,r,
04/2000,,1774000,r,
05/2000,,1910000,r,
06/2000,,1992000,r,
07/2000,,1881000,r,
08/2000,,1748000,r,
09/2000,,1691000,r,
10/2000,,1655000,r,
11/2000,,1643000,r,
12/2000,,1631000,r,
01/2001,,1643000,r,
02/2001,,1651000,r,
03/2001,,1679000,r,
04/2001,,1673000,r,
05/2001,,1650000,r,
06/2001,,1528000,r,
07/2001,,1384000,r,
08/2001,,1267000,r,
09/2001,,1198000,r,
10/2001,,1146000,r,
11/2001,,1152882,,
12/2001,,1260000,r,
01/2002,,1396748,,
02/2002,,1471223,,
03/2002,,1527000,r,
04/2002,,1538170,,
05/2002,,1573036,,
06/2002,,1566000,r,
07/2002,,1425187,,
08/2002,,1315000,r,
09/2002,,1254000,r,
10/2002,,1214788,,
11/2002,,1246628,,
12/2002,,1299230,,
01/2003,,1374504,,
02/2003,,1414349,,
03/2003,,1434000,e,
04/2003,,1510000,r,
05/2003,,1675000,r,
06/2003,,1842697,,
07/2003,,1698184,,
08/2003,,1571971,,
09/2003,,1515000,r,
10/2003,,1441066,,
11/2003,,1445000,e,
12/2003,,1480000,r,
01/2004,,1538170,,
02/2004,,1619000,r,
03/2004,,1680000,r,
04/2004,,1687000,r,
05/2004,,1697054,,
06/2004,,1677941,,
07/2004,,1525000,,
08/2004,,1396748,,
09/2004,,1331765,,
10/2004,,1291000,r,
11/2004,,1323000,r,
12/2004,,1379000,r,
01/2005,,1572000,r,
02/2005,,1659000,r,
03/2005,,1703000,r,
04/2005,,1638000,r,
05/2005,,1901000,r,
06/2005,,2007000,r,
07/2005,,1943000,r,
08/2005,,1767000,r,
09/2005,,1676000,r,
10/2005,,1635000,r,
11/2005,,1620000,r,
12/2005,,1707000,r,
01/2006,,1664000,r,
02/2006,,1647000,r,
03/2006,,1696000,r,
04/2006,,1829000,r,
05/2006,,1882000,r,
06/2006,,2003000,r,
07/2006,,1934620,,
08/2006,,1770484,,
09/2006,,1667000,r,
10/2006,,1611760,r,
11/2006,,1597000,r,
12/2006,,1599851,,
01/2007,,1607000,r,
02/2007,,1644000,r,
03/2007,,1641278,,
04/2007,,1609590,,
05/2007,,1611760,,
06/2007,,1524598,,
07/2007,,1400645,,
08/2007,,1301072,,
09/2007,,1266000,r,
10/2007,,1239501,,
11/2007,,1221812,,
12/2007,,1221812,,
01/2008,,1290962,,
02/2008,,1367788,,
03/2008,,1363961,,
04/2008,,1385108,,
05/2008,,1344952,,
06/2008,,1347790,,
07/2008,,1223572,,
08/2008,,1110427,,
09/2008,,1053229,,
10/2008,,1026576,,
11/2008,,1035928,,
12/2008,,1045000,,
01/2009,,1098972,,
02/2009,,1199959,,
03/2009,,1346844,,
04/2009,,1419267,,
05/2009,,1716331,,
06/2009,,1761177,,
07/2009,,1629000,r,
08/2009,,1513185,,
09/2009,,1443060,,
10/2009,,1413366,,
11/2009,,1406506,,
12/2009,,1427165,,
01/2010,,1490556,,
02/2010,,1552889,,
03/2010,,1645686,,
04/2010,,1744978,,
05/2010,,1902345,,
06/2010,,2009383,,
07/2010,,1903600,,
08/2010,,1755379,,
09/2010,,1660075,,
10/2010,,1643481,,
11/2010,,1665634,,
12/2010,,1716331,,
01/2011,,1624829,,
02/2011,,1639078,,
03/2011,,1726603,,
04/2011,,1583721,,
05/2011,,1722032,,
06/2011,,1917201,,
07/2011,,2015820,,
08/2011,,1780998,,
09/2011,,1632490,,
10/2011,,1581579,,
11/2011,,1579440,,
12/2011,,1576236,,
01/2012,,1525639,,
02/2012,,1514220,,
03/2012,,1522518,,
04/2012,,1652315,,
05/2012,,1672350,,
06/2012,,1577303,,
07/2012,,1430135,,
08/2012,,1301995,,
09/2012,,1223572,,
10/2012,,1183542,,
11/2012,,1189871,,
12/2012,,1327080,,
01/2013,,1372582,,
02/2013,,1398696,,
03/2013,,1408463,,
04/2013,,1471223,,
05/2013,,1473223,,
06/2013,,1389949,,
07/2013,,1252889,,
08/2013,,1135262,,
09/2013,,1077149,,
10/2013,,1024248,,
11/2013,,1026576,,
12/2013,,1033585,,
01/2014,,1043767,,
02/2014,,1057893,,
03/2014,,1083592,,
04/2014,,1080367,,
05/2014,,1077149,,
06/2014,,1005000,,
07/2014,,898270,,
08/2014,,819600,,
09/2014,,777390,,
10/2014,,756483,,
11/2014,,756483,,
12/2014,,793802,,
01/2015,,826912,,
02/2015,,871714,,
03/2015,,893331,,
04/2015,,843016,,
05/2015,,826246,,
06/2015,,755855,,
07/2015,,693656,,
08/2015,,651153,,
09/2015,,644340,,
10/2015,,642079,,
11/2015,,648309,,
12/2015,,706771,,
01/2016,,--,,
