Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1957,,61900,,
11/1957,,63440,,
12/1957,,49920,,
01/1958,,27680,,
02/1958,,18780,,
03/1958,,19660,,
04/1958,,32360,,
05/1958,,64120,,
06/1958,,64410,,
07/1958,,63860,,
08/1958,,57820,,
09/1958,,51900,,
10/1958,,48800,,
11/1958,,26100,,
12/1958,,14000,,
01/1959,,20700,,
02/1959,,28100,,
03/1959,,45300,,
04/1959,,60100,,
05/1959,,64700,,
06/1959,,61800,,
07/1959,,30700,,
08/1959,,17800,,
09/1959,,27900,,
10/1959,,37900,,
11/1959,,38900,,
12/1959,,37800,,
01/1960,,25200,,
02/1960,,14500,,
03/1960,,33300,,
04/1960,,48700,,
05/1960,,64500,,
06/1960,,62500,,
07/1960,,50100,,
08/1960,,32100,,
09/1960,,23400,,
10/1960,,19700,,
11/1960,,21800,,
12/1960,,22600,,
01/1961,,23500,,
02/1961,,20100,,
03/1961,,14200,,
04/1961,,38400,,
05/1961,,56500,,
06/1961,,57900,,
07/1961,,29700,,
08/1961,,14700,,
09/1961,,27000,,
10/1961,,27700,,
11/1961,,23900,,
12/1961,,21800,,
01/1962,,16200,,
02/1962,,16700,,
03/1962,,15500,,
04/1962,,51200,,
05/1962,,64600,,
06/1962,,64500,,
07/1962,,61500,,
08/1962,,48800,,
09/1962,,48220,,
10/1962,,53100,,
11/1962,,41800,,
12/1962,,24400,,
01/1963,,37100,,
02/1963,,45700,,
03/1963,,56400,,
04/1963,,56900,,
05/1963,,63900,,
06/1963,,64000,,
07/1963,,62900,,
08/1963,,52300,,
09/1963,,49300,,
10/1963,,39200,,
11/1963,,42700,,
12/1963,,25400,,
01/1964,,16700,,
02/1964,,23400,,
03/1964,,29600,,
04/1964,,44800,,
05/1964,,64000,,
06/1964,,63500,,
07/1964,,55000,,
08/1964,,39300,,
09/1964,,22000,,
10/1964,,16200,,
11/1964,,21010,,
12/1964,,56690,,
01/1965,,42480,,
02/1965,,30650,,
03/1965,,12880,,
04/1965,,26300,,
05/1965,,63530,,
