Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
04/1951,,1.35,,
05/1951,,1.85,,
06/1951,,0.00,,
07/1951,,0.00,,
08/1951,,0.00,,
09/1951,,0.00,,
10/1951,,3.27,,
11/1951,,4.33,,
12/1951,,8.59,,
01/1952,,15.64,,
02/1952,,5.72,,
03/1952,,7.10,,
04/1952,,1.06,,
05/1952,,0.85,,
06/1952,,1.04,,
07/1952,,0.15,,
08/1952,,0.00,,
09/1952,,0.10,,
10/1952,,0.00,,
11/1952,,1.76,,
12/1952,,8.30,,
01/1953,,6.62,,
02/1953,,0.00,,
03/1953,,4.77,,
04/1953,,4.75,,
05/1953,,0.16,,
06/1953,,0.50,,
07/1953,,0.00,,
08/1953,,0.06,,
09/1953,,0.00,,
10/1953,,2.74,,
11/1953,,3.16,,
12/1953,,1.08,,
01/1954,,5.05,,
02/1954,,5.47,,
03/1954,,6.45,,
04/1954,,3.35,,
05/1954,,0.00,,
06/1954,,0.33,,
07/1954,,0.00,,
08/1954,,0.06,,
09/1954,,0.00,,
10/1954,,26490,,0.28,,
11/1954,,30430,,3.10,,
12/1954,,63899,,6.38,,
01/1955,,70207,,5.03,,
02/1955,,70289,,3.06,,
03/1955,,70864,,0.78,,
04/1955,,70781,,3.96,,
05/1955,,71276,,1.02,,
06/1955,,69718,,0.06,,
07/1955,,57824,,0.00,,
08/1955,,30916,,0.00,,
09/1955,,26171,,0.64,,
10/1955,,25309,,1.39,,
11/1955,,29603,,3.74,,
12/1955,,21941,,17.67,,
01/1956,,71691,,10.80,,
02/1956,,71276,,5.00,,
03/1956,,71276,,0.10,,
04/1956,,71276,,2.57,,
05/1956,,72191,,2.25,,
06/1956,,70781,,0.00,,
07/1956,,67947,,0.00,,
08/1956,,56983,,0.00,,
09/1956,,41137,,0.80,,
10/1956,,28121,,2.97,,
11/1956,,36534,,0.10,,
12/1956,,33712,,0.69,,
01/1957,,43251,,4.12,,
02/1957,,72275,,6.65,,
03/1957,,71111,,3.61,,
04/1957,,70946,,2.63,,
05/1957,,71774,,4.73,,
06/1957,,70207,,0.00,,
07/1957,,65588,,0.00,,
08/1957,,48455,,0.00,,
09/1957,,32916,,1.51,,
10/1957,,30562,,2.23,,
11/1957,,41028,,0.99,,
12/1957,,70535,,5.78,,
01/1958,,71774,,5.99,,
02/1958,,72358,,10.71,,
03/1958,,72442,,7.34,,
04/1958,,71857,,6.34,,
05/1958,,72526,,1.22,,
06/1958,,70781,,0.78,,
07/1958,,69718,,0.00,,
08/1958,,61797,,0.00,,
09/1958,,43081,,0.28,,
10/1958,,25232,,0.59,,
11/1958,,34378,,0.86,,
12/1958,,27872,,2.47,,
01/1959,,70453,,7.31,,
02/1959,,70699,,8.31,,
03/1959,,70946,,2.29,,
04/1959,,70617,,0.81,,
05/1959,,70207,,0.16,,
06/1959,,69312,,0.00,,
07/1959,,61502,,0.00,,
08/1959,,44685,,0.00,,
09/1959,,37240,,2.03,,
10/1959,,28079,,0.00,,
11/1959,,25699,,0.00,,
12/1959,,26610,,1.65,,
01/1960,,52393,,7.16,,
02/1960,,70289,,6.25,,
03/1960,,71941,,5.76,,
04/1960,,70781,,2.37,,
05/1960,,70044,,1.29,,
06/1960,,69474,,0.00,,
07/1960,,65977,,0.00,,
08/1960,,52197,,0.03,,
09/1960,,36284,,0.29,,
10/1960,,25816,,0.46,,
11/1960,,46992,,7.81,,
12/1960,,61428,,2.02,,
01/1961,,52524,,2.79,,
02/1961,,70125,,3.57,,
03/1961,,70864,,5.89,,
04/1961,,70699,,1.97,,
05/1961,,70535,,0.63,,
06/1961,,69151,,0.28,,
07/1961,,60694,,0.00,,
08/1961,,47355,,0.03,,
09/1961,,39682,,0.10,,
10/1961,,35838,,0.46,,
11/1961,,27501,,3.11,,
12/1961,,44511,,3.64,,
01/1962,,53248,,2.56,,
02/1962,,71359,,14.09,,
03/1962,,71111,,4.70,,
04/1962,,71359,,0.89,,
05/1962,,71194,,0.85,,
06/1962,,70044,,0.00,,
07/1962,,66759,,0.00,,
08/1962,,57612,,0.12,,
09/1962,,44222,,0.11,,
10/1962,,70207,,15.03,,
11/1962,,70125,,1.17,,
12/1962,,70289,,3.68,,
01/1963,,74819,,3.54,,
02/1963,,71442,,
03/1963,,71442,,5.59,,
04/1963,,71691,,7.17,,
05/1963,,72108,,2.04,,
06/1963,,70289,,1.30,,
07/1963,,66055,,0.00,,
08/1963,,54651,,0.00,,
09/1963,,48148,,0.32,,
10/1963,,41576,,2.81,,
11/1963,,70371,,8.15,,
12/1963,,70125,,0.76,,
01/1964,,70699,,7.29,,
02/1964,,70371,,0.59,,
03/1964,,70781,,2.54,,
04/1964,,71029,,0.77,,
05/1964,,70946,,1.86,,
06/1964,,70207,,0.55,,
07/1964,,68266,,0.07,,
08/1964,,60402,,0.06,,
