Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1975,,1049,,
11/1975,,1386,,
12/1975,,2199,,
01/1976,,3378,,
02/1976,,6029,,
03/1976,,9732,,
04/1976,,12461,,
05/1976,,14338,,
06/1976,,10087,,
07/1976,,2314,,
08/1976,,2260,,
09/1976,,2249,,
10/1976,,2481,,
11/1976,,2845,,
12/1976,,3268,,
01/1977,,4007,,
02/1977,,4510,,
03/1977,,4982,,
04/1977,,5462,,
05/1977,,6333,,
06/1977,,6660,,
07/1977,,3591,,
08/1977,,3396,,
09/1977,,3195,,
10/1977,,3034,,
11/1977,,3275,,
12/1977,,7366,,
01/1978,,33671,,
02/1978,,39162,,
03/1978,,65371,,
04/1978,,73418,,
05/1978,,82650,,
06/1978,,80620,,
07/1978,,71261,,
08/1978,,56225,,
09/1978,,49326,,
10/1978,,39507,,
11/1978,,35408,,
12/1978,,25402,,
01/1979,,33883,,
02/1979,,52818,,
03/1979,,70298,,
04/1979,,80279,,
05/1979,,88373,,
06/1979,,76039,,
07/1979,,56840,,
08/1979,,42427,,
09/1979,,33517,,
10/1979,,30042,,
11/1979,,27463,,
12/1979,,26170,,
01/1980,,27266,,
02/1980,,31321,,
03/1980,,51837,,
04/1980,,66723,,
05/1980,,76400,,
06/1980,,70270,,
07/1980,,55003,,
08/1980,,40203,,
09/1980,,32093,,
10/1980,,23302,,
11/1980,,24048,,
12/1980,,25352,,
01/1981,,28582,,
02/1981,,31888,,
03/1981,,38797,,
04/1981,,43667,,
05/1981,,40192,,
06/1981,,29449,,
07/1981,,16811,,
08/1981,,10763,,
09/1981,,10528,,
10/1981,,10735,,
11/1981,,12576,,
12/1981,,15225,,
01/1982,,31617,,
02/1982,,45839,,
03/1982,,67786,,
04/1982,,84902,,
05/1982,,81632,,
06/1982,,76429,,
07/1982,,73820,,
08/1982,,48951,,
09/1982,,37011,,
10/1982,,29476,,
11/1982,,25132,,
12/1982,,25010,,
01/1983,,34397,,
02/1983,,31219,,
03/1983,,52915,,
04/1983,,77503,,
05/1983,,87507,,
06/1983,,78981,,
07/1983,,65910,,
08/1983,,51922,,
09/1983,,51693,,
10/1983,,16754,,
11/1983,,26774,,
12/1983,,36325,,
01/1984,,37193,,
02/1984,,47026,,
03/1984,,54509,,
04/1984,,42231,,
05/1984,,34475,,
06/1984,,24631,,
07/1984,,10417,,
08/1984,,8886,,
09/1984,,8790,,
10/1984,,8923,,
11/1984,,10505,,
12/1984,,12883,,
01/1985,,15231,,
02/1985,,19765,,
03/1985,,27309,,
04/1985,,33143,,
05/1985,,35378,,
06/1985,,24350,,
07/1985,,11951,,
08/1985,,9781,,
09/1985,,9701,,
10/1985,,9947,,
11/1985,,11366,,
12/1985,,14853,,
01/1986,,19430,,
02/1986,,46739,,
03/1986,,57826,,
04/1986,,63833,,
05/1986,,65076,,
06/1986,,55189,,
07/1986,,40479,,
08/1986,,30595,,
09/1986,,21290,,
10/1986,,15890,,
11/1986,,15870,,
12/1986,,16890,,
01/1987,,18340,,
02/1987,,21670,,
03/1987,,26960,,
04/1987,,29090,,
05/1987,,30000,,
06/1987,,23843,,
07/1987,,11709,,
08/1987,,9830,,
09/1987,,9648,,
10/1987,,9750,,
11/1987,,10347,,
12/1987,,11401,,
01/1988,,14060,,
02/1988,,15524,,
03/1988,,18197,,
04/1988,,21260,,
05/1988,,22762,,
06/1988,,11401,,
07/1988,,10141,,
08/1988,,9870,,
09/1988,,9635,,
10/1988,,9482,,
11/1988,,9679,,
12/1988,,10505,,
01/1989,,11337,,
02/1989,,12963,,
03/1989,,19050,,
04/1989,,21876,,
05/1989,,22931,,
06/1989,,22686,,
07/1989,,11910,,
08/1989,,6149,,
09/1989,,6068,,
10/1989,,6100,,
11/1989,,6507,,
12/1989,,6988,,
01/1990,,8071,,
02/1990,,9339,,
03/1990,,11916,,
