Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
02/1916,,3.92,,
03/1916,,5.01,,
04/1916,,1.05,,
05/1916,,0.66,,
06/1916,,0.00,,
07/1916,,0.00,,
08/1916,,0.59,,
09/1916,,1.16,,
10/1916,,6.72,,
11/1916,,2.40,,
12/1916,,8.10,,
01/1917,,1.91,,
02/1917,,11.91,,
03/1917,,2.30,,
04/1917,,1.36,,
05/1917,,2.06,,
06/1917,,0.00,,
07/1917,,0.00,,
08/1917,,0.00,,
09/1917,,0.00,,
10/1917,,0.00,,
11/1917,,2.48,,
12/1917,,2.64,,
01/1918,,1.06,,
02/1918,,9.69,,
03/1918,,11.21,,
04/1918,,0.56,,
05/1918,,1.56,,
06/1918,,0.12,,
07/1918,,0.40,,
08/1918,,0.00,,
09/1918,,1.35,,
10/1918,,0.71,,
11/1918,,3.92,,
12/1918,,1.85,,
01/1919,,1.44,,
02/1919,,9.92,,
03/1919,,6.42,,
04/1919,,0.36,,
05/1919,,1.06,,
06/1919,,0.00,,
07/1919,,0.00,,
08/1919,,0.00,,
09/1919,,1.86,,
10/1919,,0.75,,
11/1919,,1.35,,
12/1919,,5.73,,
01/1920,,1.65,,
02/1920,,2.66,,
03/1920,,8.86,,
04/1920,,4.20,,
05/1920,,0.36,,
06/1920,,0.79,,
07/1920,,0.00,,
08/1920,,1.00,,
09/1920,,0.55,,
10/1920,,6.00,,
11/1920,,4.76,,
12/1920,,5.42,,
01/1921,,11.26,,
02/1921,,3.40,,
03/1921,,4.45,,
04/1921,,0.65,,
05/1921,,2.75,,
06/1921,,0.00,,
07/1921,,0.00,,
08/1921,,0.00,,
09/1921,,0.61,,
10/1921,,0.58,,
11/1921,,0.10,,
12/1921,,10.40,,
01/1922,,3.45,,
02/1922,,6.80,,
03/1922,,6.31,,
04/1922,,0.60,,
05/1922,,2.67,,
06/1922,,0.42,,
07/1922,,0.58,,
08/1922,,0.00,,
09/1922,,0.00,,
10/1922,,2.20,,
11/1922,,3.00,,
12/1922,,8.10,,
01/1923,,4.62,,
02/1923,,0.75,,
03/1923,,0.70,,
04/1923,,8.16,,
05/1923,,0.97,,
06/1923,,1.48,,
07/1923,,0.00,,
08/1923,,0.00,,
09/1923,,2.33,,
10/1923,,1.20,,
11/1923,,0.61,,
12/1923,,2.16,,
01/1924,,3.02,,
02/1924,,2.04,,
03/1924,,3.85,,
04/1924,,1.64,,
05/1924,,0.18,,
06/1924,,0.00,,
07/1924,,0.00,,
08/1924,,0.00,,
09/1924,,0.03,,
10/1924,,5.31,,
11/1924,,2.86,,
12/1924,,5.81,,
01/1925,,2.43,,
02/1925,,13.05,,
03/1925,,5.15,,
04/1925,,4.55,,
05/1925,,2.84,,
06/1925,,1.39,,
07/1925,,0.30,,
