Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1959,,160,,
11/1959,,160,,
12/1959,,225,,
01/1960,,309,,
02/1960,,2150,,
03/1960,,8100,,
04/1960,,18400,,
05/1960,,28000,,
06/1960,,32100,,
07/1960,,31900,,
08/1960,,31100,,
09/1960,,30200,,
10/1960,,29500,,
11/1960,,29700,,
12/1960,,29900,,
01/1961,,30000,,
02/1961,,31400,,
03/1961,,33600,,
04/1961,,39500,,
05/1961,,45500,,
06/1961,,46000,,
07/1961,,34100,,
08/1961,,23700,,
09/1961,,16700,,
10/1961,,14150,,
11/1961,,11360,,
12/1961,,10200,,
01/1962,,8830,,
02/1962,,10600,,
03/1962,,11800,,
04/1962,,23800,,
05/1962,,38100,,
06/1962,,31300,,
07/1962,,26100,,
08/1962,,13200,,
09/1962,,2100,,
10/1962,,1830,,
11/1962,,2320,,
12/1962,,4720,,
01/1963,,8260,,
02/1963,,20100,,
03/1963,,22900,,
04/1963,,27650,,
05/1963,,41800,,
06/1963,,45090,,
07/1963,,45690,,
08/1963,,45000,,
09/1963,,43450,,
10/1963,,35720,,
11/1963,,32030,,
12/1963,,32340,,
01/1964,,33240,,
02/1964,,22280,,
03/1964,,23590,,
04/1964,,26100,,
05/1964,,38530,,
06/1964,,29840,,
07/1964,,22140,,
08/1964,,10500,,
09/1964,,10000,,
10/1964,,9800,,
11/1964,,10500,,
12/1964,,34400,,
01/1965,,36000,,
02/1965,,32700,,
03/1965,,32500,,
04/1965,,38700,,
05/1965,,38100,,
06/1965,,43500,,
07/1965,,45100,,
08/1965,,31180,,
09/1965,,25330,,
10/1965,,22030,,
11/1965,,4530,,
12/1965,,5660,,
01/1966,,6670,,
02/1966,,7380,,
03/1966,,10500,,
04/1966,,22970,,
05/1966,,33400,,
06/1966,,35000,,
07/1966,,34480,,
08/1966,,33600,,
09/1966,,32900,,
10/1966,,27800,,
11/1966,,19530,,
12/1966,,16130,,
01/1967,,18180,,
02/1967,,13560,,
03/1967,,11440,,
04/1967,,14600,,
05/1967,,33000,,
06/1967,,46100,,
07/1967,,43800,,
08/1967,,39560,,
09/1967,,35830,,
10/1967,,28600,,
11/1967,,25020,,
12/1967,,21560,,
01/1968,,15230,,
02/1968,,19000,,
03/1968,,23100,,
04/1968,,30220,,
05/1968,,37740,,
06/1968,,35160,,
07/1968,,29960,,
08/1968,,25310,,
09/1968,,12800,,
10/1968,,10100,,
11/1968,,12890,,
12/1968,,14210,,
01/1969,,19600,,
02/1969,,22600,,
03/1969,,12860,,
04/1969,,15550,,
05/1969,,40200,,
06/1969,,43000,,
07/1969,,44650,,
08/1969,,44250,,
09/1969,,43350,,
10/1969,,24410,,
11/1969,,25000,,
12/1969,,29200,,
01/1970,,37500,,
02/1970,,36300,,
03/1970,,35000,,
04/1970,,40800,,
05/1970,,44290,,
06/1970,,45420,,
07/1970,,42290,,
08/1970,,37200,,
09/1970,,35660,,
10/1970,,32200,,
11/1970,,33500,,
12/1970,,31360,,
01/1971,,33270,,
02/1971,,18450,,
03/1971,,22500,,
04/1971,,29630,,
05/1971,,39910,,
06/1971,,45730,,
07/1971,,43910,,
08/1971,,43150,,
09/1971,,30900,,
10/1971,,28700,,
11/1971,,24300,,
12/1971,,21350,,
01/1972,,19540,,
02/1972,,16940,,
03/1972,,24400,,
04/1972,,31200,,
05/1972,,43200,,
06/1972,,39430,,
07/1972,,39190,,
08/1972,,38310,,
09/1972,,27580,,
10/1972,,24240,,
11/1972,,21300,,
12/1972,,20720,,
01/1973,,22600,,
02/1973,,24520,,
03/1973,,21760,,
04/1973,,24800,,
05/1973,,43720,,
06/1973,,42360,,
07/1973,,42690,,
08/1973,,38680,,
09/1973,,32000,,
10/1973,,30110,,
11/1973,,31510,,
12/1973,,29010,,
01/1974,,31760,,
02/1974,,30500,,
03/1974,,36100,,
04/1974,,43850,,
05/1974,,45080,,
06/1974,,45660,,
07/1974,,45640,,
08/1974,,44720,,
09/1974,,43840,,
10/1974,,28220,,
11/1974,,12620,,
12/1974,,13300,,
01/1975,,14260,,
02/1975,,15670,,
03/1975,,17870,,
04/1975,,20560,,
05/1975,,30200,,
06/1975,,39020,,
07/1975,,42360,,
08/1975,,42470,,
