Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
11/1974,,282,,
12/1974,,4847,,
01/1975,,7939,,
02/1975,,43130,,
03/1975,,95658,,
04/1975,,109470,,
05/1975,,113925,,
06/1975,,107148,,
07/1975,,105540,,
08/1975,,103682,,
09/1975,,102340,,
10/1975,,101856,,
11/1975,,101724,,
12/1975,,102252,,
01/1976,,102274,,
02/1976,,104532,,
03/1976,,94770,,
04/1976,,80588,,
05/1976,,55000,,
06/1976,,32820,,
07/1976,,5152,,
08/1976,,190,,
09/1976,,109,,
10/1976,,190,,
11/1976,,190,,
12/1976,,190,,
01/1977,,240,,
02/1977,,345,,
03/1977,,405,,
04/1977,,405,,
05/1977,,405,,
06/1977,,345,,
07/1977,,290,,
08/1977,,240,,
09/1977,,190,,
10/1977,,240,,
11/1977,,1255,,
12/1977,,13800,,
01/1978,,89200,,
02/1978,,131700,,
03/1978,,161400,,
04/1978,,175980,,
05/1978,,179312,,
06/1978,,173200,,
07/1978,,165900,,
08/1978,,158520,,
09/1978,,156765,,
10/1978,,155489,,
11/1978,,154996,,
12/1978,,154561,,
01/1979,,163470,,
02/1979,,182595,,
03/1979,,197378,,
04/1979,,192329,,
05/1979,,175640,,
06/1979,,163740,,
07/1979,,156881,,
08/1979,,149228,,
09/1979,,145532,,
10/1979,,144720,,
11/1979,,148920,,
12/1979,,161520,,
01/1980,,221966,,
02/1980,,261406,,
03/1980,,262280,,
04/1980,,267672,,
05/1980,,253640,,
06/1980,,234812,,
07/1980,,216084,,
08/1980,,213262,,
09/1980,,211120,,
10/1980,,209318,,
11/1980,,208169,,
12/1980,,213024,,
01/1981,,229916,,
02/1981,,237800,,
03/1981,,237728,,
04/1981,,234380,,
05/1981,,219824,,
06/1981,,202394,,
07/1981,,179312,,
08/1981,,172450,,
09/1981,,169140,,
10/1981,,168450,,
11/1981,,189623,,
12/1981,,230096,,
01/1982,,261976,,
02/1982,,261710,,
03/1982,,273148,,
04/1982,,283998,,
05/1982,,288200,,
06/1982,,288126,,
07/1982,,283647,,
08/1982,,272445,,
09/1982,,262610,,
10/1982,,261254,,
11/1982,,265341,,
12/1982,,260076,,
01/1983,,273000,,
02/1983,,271557,,
03/1983,,269633,,
04/1983,,288311,,
05/1983,,291439,,
06/1983,,292780,,
07/1983,,291890,,
08/1983,,287867,,
09/1983,,280137,,
10/1983,,267598,,
11/1983,,259658,,
12/1983,,258024,,
01/1984,,254144,,
02/1984,,262344,,
03/1984,,270188,,
04/1984,,274209,,
05/1984,,270447,,
06/1984,,256846,,
07/1984,,240032,,
08/1984,,227372,,
09/1984,,224312,,
10/1984,,221456,,
11/1984,,232616,,
12/1984,,233372,,
01/1985,,234956,,
02/1985,,245252,,
03/1985,,251492,,
04/1985,,233732,,
05/1985,,210984,,
06/1985,,190778,,
07/1985,,164280,,
08/1985,,143656,,
09/1985,,140145,,
10/1985,,138600,,
11/1985,,140319,,
12/1985,,145616,,
01/1986,,153080,,
02/1986,,260722,,
03/1986,,267598,,
04/1986,,268190,,
05/1986,,268817,,
06/1986,,265045,,
07/1986,,256124,,
08/1986,,252038,,
09/1986,,249032,,
10/1986,,247560,,
11/1986,,245864,,
12/1986,,245180,,
