Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
10/1921,,0.16,,
11/1921,,0.23,,
12/1921,,3.58,,
01/1922,,2.27,,
02/1922,,2.14,,
03/1922,,1.14,,
04/1922,,0.59,,
05/1922,,0.38,,
06/1922,,0.00,,
07/1922,,0.00,,
08/1922,,0.00,,
09/1922,,0.00,,
10/1922,,0.00,,
11/1922,,0.87,,
12/1922,,3.35,,
01/1923,,0.69,,
02/1923,,0.47,,
03/1923,,0.00,,
04/1923,,1.68,,
05/1923,,0.00,,
06/1923,,0.00,,
07/1923,,0.00,,
08/1923,,0.00,,
09/1923,,0.31,,
10/1923,,0.27,,
11/1923,,0.04,,
12/1923,,0.06,,
01/1924,,0.53,,
02/1924,,0.01,,
03/1924,,1.64,,
04/1924,,0.35,,
05/1924,,0.00,,
06/1924,,0.00,,
07/1924,,0.00,,
08/1924,,0.00,,
09/1924,,0.00,,
10/1924,,0.21,,
11/1924,,0.98,,
12/1924,,2.76,,
01/1925,,0.71,,
02/1925,,1.72,,
03/1925,,0.64,,
04/1925,,1.17,,
05/1925,,0.07,,
06/1925,,0.52,,
07/1925,,1.47,,
08/1925,,0.14,,
09/1925,,0.00,,
10/1925,,0.47,,
11/1925,,0.37,,
12/1925,,0.45,,
01/1926,,0.25,,
02/1926,,1.42,,
03/1926,,0.62,,
04/1926,,3.18,,
05/1926,,1.04,,
06/1926,,0.00,,
07/1926,,0.00,,
08/1926,,0.00,,
09/1926,,0.00,,
10/1926,,0.36,,
11/1926,,4.38,,
12/1926,,0.41,,
01/1927,,0.67,,
02/1927,,5.35,,
03/1927,,0.43,,
04/1927,,0.29,,
05/1927,,0.00,,
06/1927,,0.00,,
07/1927,,0.00,,
08/1927,,0.00,,
09/1927,,0.00,,
10/1927,,0.89,,
11/1927,,1.22,,
12/1927,,1.52,,
01/1928,,0.17,,
02/1928,,0.78,,
03/1928,,1.13,,
04/1928,,0.25,,
05/1928,,0.48,,
06/1928,,0.00,,
07/1928,,0.00,,
08/1928,,0.00,,
09/1928,,0.00,,
10/1928,,0.00,,
11/1928,,1.85,,
12/1928,,1.81,,
01/1929,,0.74,,
02/1929,,0.51,,
03/1929,,1.93,,
04/1929,,1.09,,
05/1929,,0.00,,
06/1929,,0.18,,
07/1929,,0.00,,
08/1929,,0.00,,
09/1929,,0.28,,
10/1929,,0.00,,
11/1929,,1.25,,
12/1929,,1.46,,
01/1930,,3.41,,
02/1930,,1.76,,
03/1930,,1.55,,
04/1930,,0.25,,
05/1930,,0.51,,
06/1930,,0.00,,
07/1930,,0.00,,
08/1930,,0.00,,
09/1930,,0.00,,
10/1930,,0.00,,
11/1930,,1.25,,
12/1930,,0.00,,
01/1931,,2.20,,
02/1931,,0.83,,
03/1931,,0.05,,
04/1931,,0.57,,
05/1931,,0.00,,
06/1931,,0.43,,
07/1931,,0.13,,
08/1931,,0.54,,
09/1931,,0.00,,
10/1931,,0.23,,
11/1931,,1.00,,
12/1931,,4.43,,
01/1932,,2.94,,
02/1932,,2.21,,
03/1932,,0.46,,
04/1932,,0.15,,
05/1932,,0.25,,
06/1932,,0.15,,
07/1932,,0.00,,
08/1932,,0.00,,
09/1932,,0.00,,
10/1932,,0.00,,
11/1932,,0.00,,
12/1932,,1.18,,
01/1933,,6.30,,
02/1933,,0.22,,
03/1933,,0.55,,
04/1933,,0.00,,
05/1933,,0.15,,
06/1933,,0.32,,
07/1933,,0.00,,
08/1933,,0.00,,
09/1933,,0.00,,
10/1933,,0.26,,
11/1933,,0.09,,
12/1933,,0.70,,
01/1934,,1.62,,
02/1934,,1.29,,
03/1934,,0.08,,
04/1934,,0.00,,
05/1934,,0.00,,
06/1934,,0.00,,
07/1934,,0.00,,
08/1934,,0.00,,
09/1934,,0.00,,
10/1934,,0.81,,
11/1934,,1.40,,
12/1934,,1.55,,
01/1935,,1.87,,
02/1935,,0.84,,
03/1935,,2.05,,
04/1935,,1.49,,
05/1935,,0.05,,
06/1935,,0.00,,
07/1935,,0.00,,
08/1935,,0.85,,
09/1935,,0.00,,
10/1935,,0.28,,
11/1935,,0.35,,
12/1935,,1.43,,
01/1936,,0.23,,
02/1936,,6.33,,
03/1936,,2.02,,
04/1936,,1.13,,
05/1936,,0.10,,
06/1936,,0.00,,
07/1936,,0.00,,
08/1936,,0.12,,
09/1936,,0.00,,
10/1936,,1.02,,
11/1936,,0.00,,
12/1936,,4.22,,
01/1937,,2.02,,
02/1937,,5.17,,
03/1937,,2.15,,
04/1937,,0.43,,
05/1937,,0.00,,
06/1937,,0.00,,
07/1937,,0.00,,
08/1937,,0.00,,
09/1937,,0.00,,
10/1937,,0.67,,
11/1937,,0.03,,
12/1937,,4.24,,
01/1938,,1.93,,
02/1938,,4.55,,
03/1938,,3.40,,
04/1938,,0.48,,
05/1938,,0.00,,
06/1938,,0.00,,
07/1938,,0.10,,
08/1938,,0.55,,
09/1938,,0.31,,
10/1938,,0.10,,
11/1938,,0.27,,
12/1938,,1.77,,
01/1939,,1.90,,
02/1939,,2.39,,
03/1939,,0.99,,
04/1939,,0.59,,
