Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1965,,22730,,
11/1965,,22440,,
12/1965,,22550,,
01/1966,,22380,,
02/1966,,22180,,
03/1966,,22410,,
04/1966,,22010,,
05/1966,,22340,,
06/1966,,22320,,
07/1966,,22460,,
08/1966,,22380,,
09/1966,,22370,,
10/1966,,22200,,
11/1966,,22480,,
12/1966,,22560,,
01/1967,,21300,,
02/1967,,22530,,
03/1967,,22230,,
04/1967,,21700,,
05/1967,,22480,,
06/1967,,22460,,
07/1967,,22480,,
08/1967,,22730,,
09/1967,,22440,,
10/1967,,22960,,
11/1967,,22510,,
12/1967,,21400,,
01/1968,,22680,,
02/1968,,21410,,
03/1968,,22220,,
04/1968,,22730,,
05/1968,,21890,,
06/1968,,22140,,
07/1968,,22170,,
08/1968,,23250,,
09/1968,,23200,,
10/1968,,22520,,
11/1968,,22180,,
12/1968,,23260,,
01/1969,,21310,,
02/1969,,22690,,
03/1969,,21980,,
04/1969,,23580,,
05/1969,,22740,,
06/1969,,23460,,
07/1969,,23250,,
08/1969,,23290,,
09/1969,,23150,,
10/1969,,23040,,
11/1969,,22530,,
12/1969,,21330,,
01/1970,,21100,,
02/1970,,23190,,
03/1970,,22860,,
04/1970,,23230,,
05/1970,,22750,,
06/1970,,23450,,
07/1970,,22980,,
08/1970,,22910,,
09/1970,,23520,,
10/1970,,23150,,
11/1970,,21800,,
12/1970,,21220,,
01/1971,,21950,,
02/1971,,23370,,
03/1971,,21950,,
04/1971,,22760,,
05/1971,,21320,,
06/1971,,22900,,
07/1971,,22510,,
08/1971,,23530,,
09/1971,,21210,,
10/1971,,21720,,
11/1971,,21430,,
12/1971,,21830,,
01/1972,,22020,,
02/1972,,21880,,
03/1972,,21380,,
04/1972,,22130,,
05/1972,,22740,,
06/1972,,22530,,
07/1972,,23340,,
08/1972,,23300,,
09/1972,,22530,,
10/1972,,21900,,
11/1972,,22200,,
12/1972,,21430,,
01/1973,,21570,,
02/1973,,21820,,
03/1973,,22660,,
04/1973,,22590,,
05/1973,,22710,,
06/1973,,22810,,
07/1973,,23010,,
08/1973,,23060,,
09/1973,,22490,,
10/1973,,22820,,
11/1973,,21860,,
12/1973,,22510,,
01/1974,,21630,,
02/1974,,22980,,
03/1974,,22240,,
04/1974,,23180,,
05/1974,,23160,,
06/1974,,22300,,
07/1974,,23220,,
08/1974,,22880,,
09/1974,,21340,,
10/1974,,20790,,
11/1974,,20620,,
12/1974,,22090,,
01/1975,,21590,,
02/1975,,22600,,
03/1975,,23380,,
04/1975,,22140,,
05/1975,,23220,,
06/1975,,23100,,
07/1975,,23050,,
08/1975,,22900,,
09/1975,,22680,,
10/1975,,22300,,
11/1975,,23000,,
12/1975,,21980,,
01/1976,,21740,,
02/1976,,23190,,
