Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1965,,11970,,
11/1965,,12160,,
12/1965,,12300,,
01/1966,,13200,,
02/1966,,12030,,
03/1966,,11900,,
04/1966,,12400,,
05/1966,,13280,,
06/1966,,12540,,
07/1966,,12490,,
08/1966,,13120,,
09/1966,,12800,,
10/1966,,12670,,
11/1966,,12560,,
12/1966,,12950,,
01/1967,,12680,,
02/1967,,12670,,
03/1967,,12470,,
04/1967,,12670,,
05/1967,,13020,,
06/1967,,12830,,
07/1967,,12400,,
08/1967,,12850,,
09/1967,,12890,,
10/1967,,12890,,
11/1967,,13420,,
12/1967,,13260,,
01/1968,,13080,,
02/1968,,12920,,
03/1968,,13030,,
04/1968,,12510,,
05/1968,,13010,,
06/1968,,12340,,
07/1968,,12800,,
08/1968,,13020,,
09/1968,,12320,,
10/1968,,13180,,
11/1968,,12890,,
12/1968,,13160,,
01/1969,,12840,,
02/1969,,13090,,
03/1969,,13740,,
04/1969,,13230,,
05/1969,,13820,,
06/1969,,13940,,
07/1969,,13420,,
08/1969,,13760,,
09/1969,,14250,,
10/1969,,12640,,
11/1969,,13520,,
12/1969,,13990,,
01/1970,,13240,,
02/1970,,13600,,
03/1970,,13680,,
04/1970,,14210,,
05/1970,,13370,,
06/1970,,13720,,
07/1970,,13370,,
08/1970,,13960,,
09/1970,,13900,,
10/1970,,13560,,
11/1970,,13940,,
12/1970,,13830,,
01/1971,,13870,,
02/1971,,14100,,
03/1971,,13330,,
04/1971,,12470,,
05/1971,,13200,,
06/1971,,13240,,
07/1971,,13510,,
08/1971,,13370,,
09/1971,,12510,,
10/1971,,14280,,
11/1971,,13720,,
12/1971,,13300,,
01/1972,,12090,,
02/1972,,13820,,
03/1972,,13050,,
04/1972,,12850,,
05/1972,,12850,,
06/1972,,14240,,
07/1972,,13500,,
08/1972,,13800,,
09/1972,,13600,,
10/1972,,13400,,
11/1972,,13620,,
12/1972,,13530,,
01/1973,,12770,,
02/1973,,13180,,
03/1973,,13360,,
04/1973,,13430,,
05/1973,,13330,,
06/1973,,13370,,
07/1973,,13760,,
08/1973,,13480,,
09/1973,,13880,,
10/1973,,13580,,
11/1973,,13750,,
12/1973,,13200,,
01/1974,,14190,,
02/1974,,13880,,
03/1974,,13570,,
04/1974,,13640,,
05/1974,,14020,,
06/1974,,14050,,
07/1974,,14380,,
08/1974,,13480,,
09/1974,,13410,,
10/1974,,13670,,
11/1974,,13400,,
12/1974,,12800,,
01/1975,,13600,,
02/1975,,13850,,
03/1975,,13730,,
04/1975,,14260,,
05/1975,,13320,,
06/1975,,14100,,
07/1975,,13260,,
08/1975,,14020,,
09/1975,,13800,,
10/1975,,13880,,
11/1975,,13910,,
12/1975,,13250,,
01/1976,,13970,,
02/1976,,14150,,
03/1976,,13420,,
04/1976,,13600,,
05/1976,,13580,,
06/1976,,13840,,
07/1976,,13910,,
08/1976,,14260,,
09/1976,,13730,,
10/1976,,13930,,
11/1976,,13920,,
12/1976,,13660,,
01/1977,,13670,,
02/1977,,13870,,
03/1977,,13900,,
04/1977,,13840,,
05/1977,,13970,,
06/1977,,13990,,
07/1977,,13970,,
08/1977,,13670,,
09/1977,,13450,,
10/1977,,13760,,
11/1977,,13850,,
12/1977,,13370,,
01/1978,,14200,,
02/1978,,14610,,
03/1978,,14260,,
04/1978,,14210,,
05/1978,,14290,,
06/1978,,14110,,
07/1978,,14230,,
08/1978,,14010,,
09/1978,,13870,,
10/1978,,13690,,
11/1978,,14030,,
12/1978,,14040,,
01/1979,,14140,,
02/1979,,14440,,
03/1979,,13820,,
04/1979,,13910,,
05/1979,,14130,,
06/1979,,13790,,
07/1979,,14030,,
08/1979,,14140,,
09/1979,,13630,,
10/1979,,13760,,
11/1979,,13620,,
12/1979,,13890,,
01/1980,,14120,,
02/1980,,14460,,
03/1980,,13790,,
04/1980,,14440,,
05/1980,,14020,,
06/1980,,14100,,
07/1980,,14040,,
08/1980,,13710,,
09/1980,,13690,,
10/1980,,13840,,
11/1980,,13990,,
12/1980,,14050,,
01/1981,,13940,,
02/1981,,13710,,
03/1981,,13790,,
04/1981,,13960,,
05/1981,,14120,,
06/1981,,13820,,
07/1981,,13880,,
08/1981,,13900,,
09/1981,,13800,,
10/1981,,13800,,
11/1981,,13330,,
12/1981,,14140,,
01/1982,,13510,,
02/1982,,14100,,
03/1982,,14240,,
04/1982,,13700,,
05/1982,,13930,,
06/1982,,14000,,
07/1982,,13950,,
08/1982,,14170,,
09/1982,,14380,,
10/1982,,13930,,
11/1982,,14190,,
12/1982,,14530,,
01/1983,,14390,,
02/1983,,14560,,
03/1983,,13880,,
04/1983,,14350,,
05/1983,,13770,,
06/1983,,14080,,
07/1983,,13480,,
08/1983,,14490,,
09/1983,,14150,,
10/1983,,14040,,
11/1983,,13980,,
12/1983,,13450,,
01/1984,,13990,,
02/1984,,14190,,
03/1984,,13730,,
04/1984,,13960,,
05/1984,,13750,,
06/1984,,14020,,
07/1984,,14150,,
08/1984,,14360,,
09/1984,,14180,,
10/1984,,13710,,
11/1984,,13970,,
12/1984,,13780,,
01/1985,,13830,,
02/1985,,13980,,
03/1985,,14260,,
04/1985,,13670,,
05/1985,,14000,,
06/1985,,14410,,
07/1985,,14060,,
08/1985,,13550,,
09/1985,,14060,,
10/1985,,13480,,
11/1985,,13730,,
12/1985,,14053,,
01/1986,,14410,,
02/1986,,14410,,
03/1986,,14030,,
04/1986,,14030,,
05/1986,,14500,,
06/1986,,14165,,
07/1986,,13705,,
08/1986,,14008,,
09/1986,,14100,,
10/1986,,14240,,
11/1986,,13963,,
12/1986,,14352,,
01/1987,,14330,,
02/1987,,14337,,
03/1987,,13793,,
04/1987,,14345,,
05/1987,,14150,,
06/1987,,14100,,
07/1987,,13668,,
08/1987,,14374,,
09/1987,,13815,,
10/1987,,14225,,
11/1987,,13911,,
12/1987,,13565,,
01/1988,,13822,,
02/1988,,13720,,
03/1988,,14046,,
04/1988,,13815,,
05/1988,,13815,,
06/1988,,14158,,
07/1988,,13963,,
08/1988,,13417,,
09/1988,,14225,,
10/1988,,13646,,
11/1988,,13778,,
12/1988,,13837,,
01/1989,,13866,,
02/1989,,13925,,
03/1989,,13720,,
04/1989,,14218,,
05/1989,,14300,,
06/1989,,14397,,
07/1989,,14083,,
08/1989,,14160,,
09/1989,,13670,,
10/1989,,13837,,
11/1989,,13850,,
12/1989,,13918,,
01/1990,,14083,,
02/1990,,13955,,
03/1990,,13631,,
04/1990,,14397,,
05/1990,,13727,,
06/1990,,14128,,
07/1990,,13700,,
08/1990,,13911,,
09/1990,,14247,,
10/1990,,13844,,
11/1990,,13933,,
12/1990,,13985,,
01/1991,,14053,,
02/1991,,14023,,
03/1991,,13609,,
04/1991,,14173,,
05/1991,,14494,,
06/1991,,13742,,
07/1991,,14457,,
08/1991,,14285,,
09/1991,,14449,,
10/1991,,14008,,
11/1991,,13837,,
12/1991,,13668,,
01/1992,,13499,,
02/1992,,13925,,
03/1992,,13653,,
04/1992,,13985,,
05/1992,,14419,,
06/1992,,14285,,
07/1992,,14434,,
08/1992,,14472,,
09/1992,,14374,,
10/1992,,14449,,
11/1992,,14000,,
12/1992,,13793,,
01/1993,,13881,,
02/1993,,13793,,
03/1993,,14030,,
04/1993,,14188,,
05/1993,,14255,,
06/1993,,13712,,
07/1993,,13822,,
08/1993,,13734,,
09/1993,,13756,,
10/1993,,13793,,
11/1993,,13896,,
12/1993,,13986,,
01/1994,,14030,,
02/1994,,13941,,
03/1994,,13823,,
04/1994,,14075,,
05/1994,,13993,,
06/1994,,14000,,
07/1994,,14045,,
08/1994,,13624,,
09/1994,,14299,,
10/1994,,13941,,
11/1994,,13587,,
12/1994,,13741,,
01/1995,,14247,,
02/1995,,13903,,
03/1995,,13440,,
04/1995,,13978,,
05/1995,,13993,,
06/1995,,13845,,
07/1995,,14015,,
08/1995,,13955,,
09/1995,,13926,,
10/1995,,13845,,
11/1995,,13830,,
12/1995,,13601,,
01/1996,,13800,,
02/1996,,14091,,
03/1996,,13484,,
04/1996,,13830,,
05/1996,,13763,,
06/1996,,13807,,
07/1996,,13697,,
08/1996,,13971,,
09/1996,,14562,,
10/1996,,13860,,
11/1996,,13785,,
12/1996,,14075,,
01/1997,,13697,,
02/1997,,13675,,
03/1997,,13844,,
04/1997,,13815,,
05/1997,,13469,,
06/1997,,14412,,
07/1997,,14091,,
08/1997,,14225,,
09/1997,,15225,,
10/1997,,13874,,
11/1997,,13881,,
12/1997,,13970,,
01/1998,,13653,,
02/1998,,14404,,
03/1998,,13359,,
04/1998,,14083,,
05/1998,,13587,,
06/1998,,13727,,
07/1998,,14120,,
08/1998,,13631,,
09/1998,,13955,,
10/1998,,13881,,
11/1998,,14187,,
12/1998,,13830,,
01/1999,,14015,,
02/1999,,14053,,
03/1999,,14098,,
04/1999,,13734,,
05/1999,,13814,,
06/1999,,14329,,
07/1999,,14240,,
08/1999,,13896,,
09/1999,,13815,,
10/1999,,14210,,
11/1999,,14023,,
12/1999,,13845,,
01/2000,,13926,,
02/2000,,14248,,
03/2000,,14128,,
04/2000,,14105,,
05/2000,,13926,,
06/2000,,13808,,
07/2000,,13462,,
08/2000,,13771,,
09/2000,,13956,,
10/2000,,13779,,
11/2000,,14517,,
12/2000,,13938,,
01/2001,,14427,,
02/2001,,14375,,
03/2001,,13882,,
04/2001,,13941,,
05/2001,,14195,,
06/2001,,13675,,
07/2001,,14210,,
08/2001,,13609,,
09/2001,,14158,,
10/2001,,14053,,
11/2001,,13882,,
12/2001,,13986,,
01/2002,,14322,,
02/2002,,13882,,
03/2002,,14158,,
04/2002,,14150,,
05/2002,,13926,,
06/2002,,14248,,
07/2002,,14307,,
08/2002,,14285,,
09/2002,,13823,,
10/2002,,14023,,
11/2002,,14016,,
12/2002,,14203,,
01/2003,,13971,,
02/2003,,14091,,
03/2003,,14068,,
04/2003,,13808,,
05/2003,,13830,,
06/2003,,14263,,
07/2003,,13978,,
08/2003,,13889,,
09/2003,,13904,,
10/2003,,13918,,
11/2003,,14038,,
12/2003,,13808,,
01/2004,,13859,,
02/2004,,14240,,
03/2004,,13639,,
04/2004,,14113,,
05/2004,,14375,,
06/2004,,13823,,
07/2004,,13941,,
08/2004,,14165,,
09/2004,,14165,,
10/2004,,14128,,
11/2004,,13941,,
12/2004,,13734,,
01/2005,,14165,,
02/2005,,13786,,
03/2005,,14180,,
04/2005,,13941,,
05/2005,,14203,,
06/2005,,14038,,
07/2005,,14210,,
08/2005,,14375,,
09/2005,,13889,,
10/2005,,14375,,
11/2005,,13904,,
12/2005,,13845,,
01/2006,,14233,,
02/2006,,13874,,
03/2006,,14083,,
04/2006,,14195,,
05/2006,,13587,,
06/2006,,13602,,
07/2006,,13823,,
08/2006,,13491,,
09/2006,,14487,,
10/2006,,14128,,
11/2006,,13971,,
12/2006,,13859,,
01/2007,,14195,,
02/2007,,13918,,
03/2007,,13580,,
04/2007,,14046,,
05/2007,,14091,,
06/2007,,13956,,
07/2007,,14068,,
08/2007,,14128,,
09/2007,,14315,,
10/2007,,13941,,
11/2007,,14479,,
12/2007,,13948,,
01/2008,,13624,,
02/2008,,14001,,
03/2008,,13874,,
04/2008,,14158,,
05/2008,,14068,,
06/2008,,14524,,
07/2008,,14390,,
08/2008,,14038,,
09/2008,,14285,,
10/2008,,14330,,
11/2008,,14263,,
12/2008,,14046,,
01/2009,,14120,,
02/2009,,14195,,
03/2009,,14001,,
04/2009,,14465,,
05/2009,,13978,,
06/2009,,14135,,
07/2009,,14038,,
08/2009,,14457,,
09/2009,,13631,,
10/2009,,13882,,
11/2009,,13764,,
12/2009,,13918,,
01/2010,,14038,,
02/2010,,14218,,
03/2010,,14023,,
04/2010,,14180,,
05/2010,,14053,,
06/2010,,13793,,
07/2010,,14479,,
08/2010,,14292,,
09/2010,,14390,,
10/2010,,13764,,
11/2010,,13956,,
12/2010,,14270,,
01/2011,,13956,,
02/2011,,13896,,
03/2011,,13683,,
04/2011,,14360,,
05/2011,,13823,,
06/2011,,13381,,
07/2011,,14113,,
08/2011,,14457,,
09/2011,,14375,,
10/2011,,14330,,
11/2011,,14307,,
12/2011,,13830,,
01/2012,,14120,,
02/2012,,13971,,
03/2012,,14173,,
04/2012,,13859,,
05/2012,,13793,,
06/2012,,14292,,
07/2012,,14165,,
08/2012,,13572,,
09/2012,,14091,,
10/2012,,13823,,
11/2012,,13830,,
12/2012,,14046,,
01/2013,,13440,,
02/2013,,14322,,
03/2013,,14532,,
04/2013,,14584,,
05/2013,,13234,,
06/2013,,14068,,
07/2013,,13948,,
08/2013,,14278,,
09/2013,,14076,,
10/2013,,14509,,
11/2013,,13793,,
12/2013,,13756,,
01/2014,,13366,,
02/2014,,14143,,
03/2014,,14337,,
04/2014,,14367,,
05/2014,,14412,,
06/2014,,14405,,
07/2014,,13896,,
08/2014,,14345,,
09/2014,,14158,,
10/2014,,14307,,
11/2014,,14450,,
12/2014,,13749,,
01/2015,,13993,,
02/2015,,13801,,
03/2015,,13963,,
04/2015,,13896,,
05/2015,,13764,,
06/2015,,13617,,
07/2015,,13690,,
08/2015,,13918,,
09/2015,,14076,,
10/2015,,14405,,
11/2015,,13661,,
12/2015,,14068,,
01/2016,,--,,
