Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
12/1963,,4410,,
01/1964,,7120,,
02/1964,,8990,,
03/1964,,12100,,
04/1964,,24200,,
05/1964,,36300,,
06/1964,,35400,,
07/1964,,22000,,
08/1964,,20900,,
09/1964,,20000,,
10/1964,,19300,,
11/1964,,17700,,
12/1964,,33000,,
01/1965,,39500,,
02/1965,,27800,,
03/1965,,16800,,
04/1965,,40900,,
05/1965,,68300,,
06/1965,,76500,,
07/1965,,74200,,
08/1965,,74500,,
09/1965,,68900,,
10/1965,,58100,,
11/1965,,40700,,
12/1965,,20900,,
01/1966,,15600,,
02/1966,,16600,,
03/1966,,12700,,
04/1966,,32700,,
05/1966,,61500,,
06/1966,,55900,,
07/1966,,41200,,
08/1966,,25770,,
09/1966,,20700,,
10/1966,,7890,,
11/1966,,14300,,
12/1966,,14130,,
01/1967,,13200,,
02/1967,,15700,,
03/1967,,23000,,
04/1967,,10900,,
05/1967,,50500,,
06/1967,,76100,,
07/1967,,71600,,
08/1967,,54500,,
09/1967,,33020,,
10/1967,,31430,,
11/1967,,31470,,
12/1967,,17250,,
01/1968,,12300,,
02/1968,,27840,,
03/1968,,33500,,
04/1968,,49300,,
05/1968,,71910,,
06/1968,,61300,,
07/1968,,41130,,
08/1968,,22140,,
09/1968,,14850,,
10/1968,,10040,,
11/1968,,21450,,
12/1968,,24200,,
01/1969,,36900,,
02/1969,,36290,,
03/1969,,19100,,
04/1969,,25700,,
05/1969,,75400,,
06/1969,,75600,,
07/1969,,66960,,
08/1969,,44160,,
09/1969,,40700,,
10/1969,,30400,,
11/1969,,10100,,
12/1969,,18300,,
01/1970,,39900,,
02/1970,,28800,,
03/1970,,12800,,
04/1970,,6950,,
05/1970,,41100,,
06/1970,,42380,,
07/1970,,17100,,
08/1970,,5070,,
09/1970,,4500,,
10/1970,,3780,,
11/1970,,5980,,
12/1970,,6280,,
01/1971,,14300,,
02/1971,,18180,,
03/1971,,23500,,
04/1971,,36000,,
05/1971,,65700,,
06/1971,,77290,,
07/1971,,76300,,
