Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1965,,8410,,
11/1965,,7840,,
12/1965,,8710,,
01/1966,,8560,,
02/1966,,8410,,
03/1966,,7930,,
04/1966,,8870,,
05/1966,,8410,,
06/1966,,8560,,
07/1966,,8210,,
08/1966,,8460,,
09/1966,,8460,,
10/1966,,8760,,
11/1966,,8610,,
12/1966,,8070,,
01/1967,,7980,,
02/1967,,8210,,
03/1967,,8510,,
04/1967,,8870,,
05/1967,,9080,,
06/1967,,8210,,
07/1967,,8560,,
08/1967,,8980,,
09/1967,,8610,,
10/1967,,9190,,
11/1967,,8870,,
12/1967,,8310,,
01/1968,,8760,,
02/1968,,8210,,
03/1968,,8610,,
04/1968,,8870,,
05/1968,,8510,,
06/1968,,8810,,
07/1968,,8560,,
08/1968,,8820,,
09/1968,,8870,,
10/1968,,8510,,
11/1968,,8560,,
12/1968,,8760,,
01/1969,,8260,,
02/1969,,8260,,
03/1969,,8170,,
04/1969,,7840,,
05/1969,,8710,,
06/1969,,8610,,
07/1969,,8710,,
08/1969,,8760,,
09/1969,,8560,,
10/1969,,8980,,
11/1969,,8870,,
12/1969,,7390,,
01/1970,,8300,,
02/1970,,8560,,
03/1970,,8980,,
04/1970,,8660,,
05/1970,,8360,,
06/1970,,8660,,
07/1970,,8460,,
08/1970,,8510,,
09/1970,,8820,,
10/1970,,8560,,
11/1970,,8070,,
12/1970,,8610,,
01/1971,,8410,,
02/1971,,8760,,
03/1971,,7390,,
04/1971,,8260,,
05/1971,,8360,,
06/1971,,8710,,
07/1971,,8560,,
08/1971,,8710,,
09/1971,,7220,,
10/1971,,7980,,
11/1971,,7840,,
12/1971,,6440,,
01/1972,,7930,,
02/1972,,7880,,
03/1972,,4770,,
04/1972,,4740,,
05/1972,,8260,,
06/1972,,8360,,
07/1972,,8170,,
08/1972,,8560,,
09/1972,,8660,,
10/1972,,8610,,
11/1972,,7750,,
12/1972,,7520,,
01/1973,,8030,,
02/1973,,8810,,
03/1973,,7700,,
04/1973,,8610,,
05/1973,,8260,,
06/1973,,8410,,
07/1973,,8310,,
08/1973,,8260,,
09/1973,,8360,,
10/1973,,8360,,
11/1973,,8660,,
12/1973,,8610,,
01/1974,,8610,,
02/1974,,8120,,
03/1974,,8260,,
04/1974,,8460,,
05/1974,,7790,,
06/1974,,8710,,
07/1974,,8360,,
08/1974,,8460,,
09/1974,,8920,,
10/1974,,8070,,
11/1974,,8360,,
12/1974,,8410,,
01/1975,,8260,,
02/1975,,8070,,
03/1975,,8460,,
04/1975,,8560,,
05/1975,,7980,,
06/1975,,8660,,
07/1975,,8980,,
08/1975,,8610,,
09/1975,,8460,,
10/1975,,8660,,
11/1975,,8360,,
12/1975,,8030,,
01/1976,,8030,,
02/1976,,8560,,
03/1976,,8710,,
04/1976,,8820,,
05/1976,,8260,,
06/1976,,8920,,
07/1976,,8710,,
08/1976,,8610,,
09/1976,,8510,,
10/1976,,8980,,
11/1976,,8560,,
12/1976,,8510,,
01/1977,,8660,,
02/1977,,8660,,
03/1977,,7750,,
04/1977,,7930,,
05/1977,,7930,,
06/1977,,8120,,
07/1977,,8310,,
08/1977,,8610,,
09/1977,,8760,,
10/1977,,8660,,
11/1977,,8610,,
12/1977,,8710,,
01/1978,,8360,,
02/1978,,7840,,
03/1978,,8660,,
04/1978,,8760,,
05/1978,,8360,,
06/1978,,8260,,
07/1978,,8660,,
08/1978,,8920,,
09/1978,,8360,,
10/1978,,8760,,
11/1978,,8510,,
12/1978,,8310,,
01/1979,,8260,,
02/1979,,8310,,
