Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1963,,263,,
11/1963,,354,,
12/1963,,814,,
01/1964,,1061,,
02/1964,,19228,,
03/1964,,22235,,
04/1964,,27182,,
05/1964,,29305,,
06/1964,,28811,,
07/1964,,16100,,
08/1964,,9798,,
09/1964,,9563,,
10/1964,,9442,,
11/1964,,14738,,
12/1964,,111590,,
01/1965,,159048,,
02/1965,,162242,,
03/1965,,169920,,
04/1965,,214076,,
05/1965,,211604,,
06/1965,,201516,,
07/1965,,188333,,
08/1965,,176320,,
09/1965,,167836,,
10/1965,,164554,,
11/1965,,170100,,
12/1965,,182744,,
01/1966,,186233,,
02/1966,,200277,,
03/1966,,203813,,
04/1966,,199497,,
05/1966,,189882,,
06/1966,,177266,,
07/1966,,163177,,
08/1966,,149272,,
09/1966,,142244,,
10/1966,,137953,,
11/1966,,139026,,
12/1966,,165440,,
01/1967,,175384,,
02/1967,,181235,,
03/1967,,184117,,
04/1967,,219029,,
05/1967,,237367,,
06/1967,,234028,,
07/1967,,221493,,
08/1967,,206967,,
09/1967,,197108,,
10/1967,,196238,,
11/1967,,195466,,
12/1967,,197108,,
01/1968,,203594,,
02/1968,,202772,,
03/1968,,200809,,
04/1968,,199246,,
05/1968,,190046,,
06/1968,,178252,,
07/1968,,164321,,
08/1968,,151177,,
09/1968,,142816,,
10/1968,,139834,,
11/1968,,141456,,
12/1968,,155628,,
01/1969,,161862,,
02/1969,,184428,,
03/1969,,168226,,
04/1969,,198921,,
05/1969,,198661,,
06/1969,,190901,,
07/1969,,179172,,
08/1969,,166534,,
09/1969,,158932,,
10/1969,,156515,,
11/1969,,159192,,
12/1969,,171756,,
01/1970,,--,,
02/1970,,172328,,
03/1970,,172057,,
04/1970,,173837,,
05/1970,,169179,,
06/1970,,160147,,
07/1970,,147658,,
08/1970,,134149,,
09/1970,,125368,,
10/1970,,122703,,
11/1970,,134334,,
12/1970,,158528,,
01/1971,,160960,,
02/1971,,166474,,
03/1971,,182813,,
04/1971,,186207,,
05/1971,,181451,,
06/1971,,171936,,
07/1971,,158787,,
08/1971,,145556,,
09/1971,,135951,,
10/1971,,134784,,
11/1971,,135553,,
12/1971,,159886,,
01/1972,,163206,,
02/1972,,180063,,
03/1972,,177425,,
04/1972,,172539,,
05/1972,,164527,,
06/1972,,151656,,
07/1972,,137124,,
08/1972,,123436,,
09/1972,,115091,,
10/1972,,112044,,
11/1972,,113780,,
12/1972,,119895,,
01/1973,,174140,,
02/1973,,164409,,
03/1973,,184709,,
04/1973,,196206,,
05/1973,,189603,,
06/1973,,178711,,
07/1973,,165499,,
08/1973,,151627,,
09/1973,,143722,,
10/1973,,143116,,
11/1973,,150279,,
12/1973,,173384,,
01/1974,,184678,,
02/1974,,192554,,
03/1974,,234969,,
04/1974,,272456,,
05/1974,,267963,,
06/1974,,255798,,
07/1974,,244015,,
08/1974,,228823,,
09/1974,,218615,,
10/1974,,215011,,
11/1974,,194760,,
12/1974,,172268,,
01/1975,,176876,,
02/1975,,--,,
03/1975,,177273,,
04/1975,,196592,,
05/1975,,193415,,
06/1975,,181420,,
07/1975,,167482,,
08/1975,,154146,,
09/1975,,144979,,
10/1975,,143110,,
11/1975,,142593,,
12/1975,,141290,,
01/1976,,140479,,
02/1976,,136754,,
03/1976,,137874,,
04/1976,,129104,,
05/1976,,116381,,
06/1976,,103400,,
07/1976,,88678,,
08/1976,,77183,,
09/1976,,70900,,
10/1976,,68964,,
11/1976,,68180,,
12/1976,,67672,,
01/1977,,68107,,
02/1977,,65006,,
03/1977,,56930,,
04/1977,,47769,,
05/1977,,41610,,
06/1977,,28806,,
07/1977,,16128,,
08/1977,,11578,,
09/1977,,11178,,
10/1977,,10844,,
11/1977,,10735,,
12/1977,,14624,,
01/1978,,73416,,
02/1978,,118834,,
03/1978,,171608,,
04/1978,,220112,,
05/1978,,222165,,
06/1978,,206890,,
07/1978,,189497,,
08/1978,,171187,,
09/1978,,161805,,
10/1978,,152980,,
11/1978,,151149,,
12/1978,,151908,,
01/1979,,162608,,
02/1979,,192046,,
03/1979,,235847,,
04/1979,,246709,,
05/1979,,238652,,
06/1979,,224287,,
07/1979,,208507,,
08/1979,,190864,,
09/1979,,177147,,
10/1979,,171984,,
11/1979,,171833,,
12/1979,,176535,,
01/1980,,166519,,
02/1980,,198991,,
03/1980,,209746,,
04/1980,,215633,,
05/1980,,207270,,
06/1980,,193905,,
07/1980,,178957,,
08/1980,,161441,,
09/1980,,148801,,
10/1980,,142039,,
11/1980,,138776,,
12/1980,,137627,,
01/1981,,153375,,
02/1981,,157394,,
03/1981,,179081,,
04/1981,,179944,,
05/1981,,167141,,
06/1981,,150224,,
07/1981,,131830,,
08/1981,,114926,,
09/1981,,102563,,
10/1981,,96996,,
11/1981,,105711,,
12/1981,,130583,,
01/1982,,170421,,
02/1982,,184890,,
03/1982,,252639,,
04/1982,,276189,,
05/1982,,275913,,
