Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1967,,1000,,
11/1967,,39850,,
12/1967,,165530,,
01/1968,,390150,,
02/1968,,1065600,,
03/1968,,1485700,,
04/1968,,1699400,,
05/1968,,1715300,,
06/1968,,1671700,,
07/1968,,1644400,,
08/1968,,1648600,,
09/1968,,1677600,,
10/1968,,1705000,,
11/1968,,1797700,,
12/1968,,2066100,,
01/1969,,2785200,,
02/1969,,2756600,,
03/1969,,2935200,,
04/1969,,3013600,,
05/1969,,3334700,,
06/1969,,3491500,,
07/1969,,3366000,,
08/1969,,3030900,,
09/1969,,2780300,,
10/1969,,2764300,,
11/1969,,2796200,,
12/1969,,2919700,,
01/1970,,2803100,,
02/1970,,2789500,,
03/1970,,2937700,,
04/1970,,3006600,,
05/1970,,3094500,,
06/1970,,2991900,,
07/1970,,2867000,,
08/1970,,2685900,,
09/1970,,2541800,,
10/1970,,2461300,,
11/1970,,2655700,,
12/1970,,2795200,,
01/1971,,2806100,,
02/1971,,3091500,,
03/1971,,3247300,,
04/1971,,3265500,,
05/1971,,3523400,,
06/1971,,3513900,,
07/1971,,3352600,,
08/1971,,3034600,,
09/1971,,2730400,,
10/1971,,2730800,,
11/1971,,2680600,,
12/1971,,2601300,,
01/1972,,2719000,,
02/1972,,2821800,,
03/1972,,3206800,,
04/1972,,3424000,,
05/1972,,3463400,,
06/1972,,3235300,,
07/1972,,3018500,,
08/1972,,2766300,,
09/1972,,2611500,,
10/1972,,2483800,,
11/1972,,2638900,,
12/1972,,2861200,,
01/1973,,2812800,,
02/1973,,2875600,,
03/1973,,2982400,,
04/1973,,3315000,,
05/1973,,3514600,,
06/1973,,3389200,,
07/1973,,3138700,,
08/1973,,2866900,,
09/1973,,2728500,,
10/1973,,2687400,,
11/1973,,2789200,,
12/1973,,2811600,,
01/1974,,2825700,,
02/1974,,2847600,,
03/1974,,3326200,,
04/1974,,3222700,,
05/1974,,3442100,,
06/1974,,3513100,,
07/1974,,3184000,,
08/1974,,2757700,,
09/1974,,2397000,,
10/1974,,2072610,,
11/1974,,1840100,,
12/1974,,1667210,,
01/1975,,1662100,,
02/1975,,2016100,,
03/1975,,2673600,,
04/1975,,3127100,,
05/1975,,3385600,,
06/1975,,3475900,,
07/1975,,3224900,,
08/1975,,2983900,,
09/1975,,2857500,,
10/1975,,2808600,,
11/1975,,2751600,,
12/1975,,2582700,,
01/1976,,2679000,,
02/1976,,2751500,,
03/1976,,2860000,,
04/1976,,2751500,,
05/1976,,2632700,,
06/1976,,2422100,,
07/1976,,2113300,,
08/1976,,1927300,,
09/1976,,1827900,,
10/1976,,1743300,,
11/1976,,1686300,,
12/1976,,1627300,,
01/1977,,1605900,,
02/1977,,1572410,,
03/1977,,1564500,,
04/1977,,1406800,,
05/1977,,1353400,,
06/1977,,1203000,,
07/1977,,996900,,
08/1977,,891800,,
09/1977,,915200,,
10/1977,,905300,,
11/1977,,917700,,
12/1977,,1119920,,
01/1978,,2030400,,
02/1978,,2525100,,
03/1978,,2841600,,
04/1978,,3168400,,
05/1978,,3344500,,
06/1978,,3330700,,
07/1978,,3021900,,
08/1978,,2795200,,
09/1978,,2744200,,
10/1978,,2727900,,
11/1978,,2707300,,
12/1978,,2653000,,
01/1979,,2771600,,
02/1979,,2901000,,
03/1979,,3059600,,
04/1979,,3294400,,
05/1979,,3502100,,
06/1979,,3328500,,
07/1979,,3037800,,
08/1979,,2769200,,
09/1979,,2672200,,
10/1979,,2700900,,
11/1979,,2747100,,
12/1979,,2814000,,
01/1980,,2735500,,
02/1980,,2867800,,
03/1980,,2893200,,
04/1980,,3174600,,
05/1980,,3344200,,
06/1980,,3117800,,
07/1980,,2885100,,
08/1980,,2660500,,
09/1980,,2611200,,
10/1980,,2598600,,
11/1980,,2619100,,
12/1980,,2732400,,
01/1981,,2881000,,
02/1981,,3086600,,
03/1981,,3259700,,
04/1981,,3404300,,
05/1981,,3252800,,
06/1981,,3111600,,
07/1981,,2672900,,
08/1981,,2446700,,
09/1981,,2354400,,
10/1981,,2381800,,
11/1981,,2891300,,
12/1981,,2861400,,
01/1982,,2778100,,
02/1982,,2955020,,
03/1982,,3009590,,
04/1982,,3273600,,
05/1982,,3514600,,
06/1982,,3490100,,
07/1982,,3318300,,
08/1982,,3000200,,
09/1982,,2775100,,
10/1982,,2743700,,
11/1982,,2829700,,
12/1982,,2808800,,
01/1983,,2804200,,
02/1983,,2868800,,
03/1983,,2834600,,
04/1983,,2935300,,
05/1983,,3309400,,
06/1983,,3491300,,
07/1983,,3280300,,
08/1983,,3036100,,
09/1983,,2818300,,
10/1983,,2731800,,
11/1983,,2837700,,
12/1983,,2830800,,
01/1984,,2754100,,
02/1984,,2887500,,
03/1984,,3092200,,
04/1984,,3321400,,
05/1984,,3363600,,
06/1984,,3234100,,
07/1984,,2860700,,
08/1984,,2633100,,
09/1984,,2529300,,
10/1984,,2538300,,
11/1984,,2699100,,
12/1984,,2672700,,
01/1985,,2718000,,
02/1985,,2829700,,
03/1985,,3002000,,
04/1985,,3263300,,
05/1985,,3064200,,
06/1985,,2718000,,
07/1985,,2413900,,
08/1985,,2171300,,
09/1985,,2132400,,
10/1985,,2065500,,
11/1985,,2007700,,
12/1985,,2097900,,
01/1986,,2429300,,
02/1986,,2910900,,
03/1986,,2880300,,
04/1986,,3193300,,
05/1986,,3287500,,
06/1986,,3259800,,
07/1986,,2945400,,
08/1986,,2757000,,
09/1986,,2660900,,
10/1986,,2593800,,
11/1986,,2607400,,
12/1986,,2564100,,
01/1987,,2584100,,
02/1987,,2743700,,
03/1987,,3078000,,
04/1987,,3077900,,
05/1987,,2928400,,
06/1987,,2661900,,
07/1987,,2290153,,
08/1987,,2052510,,
09/1987,,1978538,,
10/1987,,1976965,,
11/1987,,2069358,,
12/1987,,2388007,,
01/1988,,2649289,,
02/1988,,2701689,,
03/1988,,2661680,,
04/1988,,2552740,,
05/1988,,2478918,,
06/1988,,2238794,,
07/1988,,1867685,,
08/1988,,1645221,,
09/1988,,1528900,,
10/1988,,1506898,,
11/1988,,1605991,,
12/1988,,1660266,,
01/1989,,1699766,,
02/1989,,1716489,,
03/1989,,2867122,,
04/1989,,3343930,,
05/1989,,3278807,,
06/1989,,3092775,,
07/1989,,2628087,,
08/1989,,2283529,,
09/1989,,2150283,,
10/1989,,2145723,,
11/1989,,2125012,,
12/1989,,1888799,,
01/1990,,1895501,,
02/1990,,1935355,,
03/1990,,2091865,,
04/1990,,1871358,,
05/1990,,1727608,,
06/1990,,1692620,,
07/1990,,1446234,,
08/1990,,1187386,,
09/1990,,1163259,,
10/1990,,1173203,,
11/1990,,1155535,,
12/1990,,987094,,
01/1991,,921058,,
02/1991,,937977,,
03/1991,,1320262,,
04/1991,,1599577,,
05/1991,,1684654,,
06/1991,,1570271,,
07/1991,,1449685,,
08/1991,,1388101,,
09/1991,,1399251,,
10/1991,,1353409,,
11/1991,,1331087,,
12/1991,,1265734,,
01/1992,,1277365,,
02/1992,,1535990,,
03/1992,,1775113,,
04/1992,,2017514,,
05/1992,,1879385,,
06/1992,,1746733,,
07/1992,,1562893,,
08/1992,,1406168,,
09/1992,,1316867,,
10/1992,,1305700,,
11/1992,,1294128,,
12/1992,,1402048,,
01/1993,,2001921,,
02/1993,,2509679,,
03/1993,,2935879,,
04/1993,,3273870,,
