Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
12/1945,,186800,,
01/1946,,169100,,
02/1946,,161000,,
03/1946,,173900,,
04/1946,,173420,,
05/1946,,201400,,
06/1946,,206900,,
07/1946,,203600,,
08/1946,,198000,,
09/1946,,191800,,
10/1946,,188100,,
11/1946,,181000,,
12/1946,,170400,,
01/1947,,149300,,
02/1947,,142100,,
03/1947,,165000,,
04/1947,,171070,,
05/1947,,181300,,
06/1947,,183460,,
07/1947,,177100,,
08/1947,,170000,,
09/1947,,162400,,
10/1947,,172910,,
11/1947,,181940,,
12/1947,,176600,,
01/1948,,187700,,
02/1948,,196000,,
03/1948,,197500,,
04/1948,,198700,,
05/1948,,203600,,
06/1948,,209570,,
07/1948,,198130,,
08/1948,,192480,,
09/1948,,185400,,
10/1948,,179890,,
11/1948,,172880,,
12/1948,,163200,,
01/1949,,162200,,
02/1949,,156900,,
03/1949,,159600,,
04/1949,,186900,,
05/1949,,206300,,
06/1949,,201690,,
07/1949,,189300,,
08/1949,,181400,,
09/1949,,172200,,
10/1949,,166370,,
11/1949,,154540,,
12/1949,,131400,,
01/1950,,150500,,
02/1950,,163700,,
03/1950,,177800,,
04/1950,,178000,,
05/1950,,196200,,
06/1950,,208550,,
07/1950,,194500,,
08/1950,,186200,,
09/1950,,177600,,
10/1950,,172520,,
11/1950,,185310,,
12/1950,,186120,,
01/1951,,196430,,
02/1951,,187030,,
03/1951,,191780,,
04/1951,,206800,,
05/1951,,208040,,
06/1951,,208150,,
07/1951,,207900,,
08/1951,,204980,,
09/1951,,194440,,
10/1951,,183500,,
11/1951,,178300,,
12/1951,,173240,,
01/1952,,152640,,
02/1952,,145810,,
03/1952,,136960,,
04/1952,,133890,,
05/1952,,175320,,
06/1952,,204230,,
07/1952,,209700,,
08/1952,,204950,,
09/1952,,196490,,
10/1952,,187490,,
11/1952,,178420,,
12/1952,,181290,,
01/1953,,180010,,
02/1953,,178740,,
03/1953,,179810,,
04/1953,,198530,,
05/1953,,206070,,
06/1953,,207030,,
07/1953,,207820,,
08/1953,,199700,,
09/1953,,192460,,
10/1953,,190920,,
11/1953,,188640,,
12/1953,,183890,,
01/1954,,183150,,
02/1954,,187200,,
03/1954,,206140,,
04/1954,,206790,,
05/1954,,206780,,
