Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
10/1948,,0.00,,
11/1948,,0.00,,
12/1948,,0.00,,
01/1949,,0.00,,
02/1949,,0.00,,
03/1949,,0.00,,
04/1949,,0.00,,
05/1949,,0.00,,
06/1949,,0.00,,
07/1949,,0.00,,
08/1949,,0.09,,
09/1949,,0.00,,
10/1949,,0.00,,
11/1949,,0.78,,
12/1949,,1.58,,
01/1950,,3.85,,
02/1950,,2.24,,
03/1950,,2.82,,
04/1950,,2.19,,
05/1950,,0.14,,
06/1950,,0.00,,
07/1950,,0.35,,
08/1950,,0.00,,
09/1950,,1.02,,
10/1950,,2.00,,
11/1950,,6.77,,
12/1950,,4.17,,
01/1951,,3.64,,
02/1951,,1.75,,
03/1951,,0.65,,
04/1951,,1.90,,
05/1951,,0.11,,
06/1951,,0.02,,
07/1951,,0.00,,
08/1951,,0.00,,
09/1951,,0.00,,
10/1951,,1.35,,
11/1951,,2.46,,
12/1951,,2700,,5.17,,
01/1952,,2950,,8.33,,
02/1952,,2840,,1.46,,
03/1952,,2800,,6.28,,
04/1952,,2860,,2.46,,
05/1952,,92800,,0.00,,
06/1952,,98300,,0.01,,
07/1952,,280,,0.00,,
08/1952,,20,,0.00,,
09/1952,,--,,0.00,,
10/1952,,--,,0.01,,
11/1952,,--,,2.12,,
12/1952,,--,,4.23,,
01/1953,,--,,3.05,,
02/1953,,--,,0.00,,
03/1953,,--,,1.36,,
04/1953,,208,,1.85,,
05/1953,,31,,0.74,,
06/1953,,33,,0.74,,
07/1953,,16,,0.00,,
08/1953,,--,,0.00,,
09/1953,,--,,0.00,,
10/1953,,0,,0.78,,
11/1953,,0,,1.93,,
12/1953,,0,,1.41,,
01/1954,,0,,3.43,,
02/1954,,30866,,3.21,,
03/1954,,58698,,5.26,,
04/1954,,153831,,1.09,,
05/1954,,422688,,0.07,,
06/1954,,358663,,0.54,,
07/1954,,172195,,0.00,,
08/1954,,74867,,0.00,,
09/1954,,63095,,0.00,,
10/1954,,66344,,0.00,,
11/1954,,81249,,2.55,,
12/1954,,103801,,2.73,,
01/1955,,139253,,6.03,,
02/1955,,174352,,2.63,,
03/1955,,157649,,0.10,,
04/1955,,187902,,1.94,,
05/1955,,361186,,1.14,,
06/1955,,379061,,0.06,,
07/1955,,233610,,0.00,,
08/1955,,119426,,0.00,,
09/1955,,69608,,0.08,,
10/1955,,72229,,0.00,,
11/1955,,83928,,2.78,,
12/1955,,477300,,14.32,,
01/1956,,674257,,4.56,,
02/1956,,552048,,1.29,,
03/1956,,429581,,0.01,,
04/1956,,538076,,2.90,,
05/1956,,828041,,2.22,,
06/1956,,937432,,0.00,,
07/1956,,730789,,0.00,,
08/1956,,476544,,0.00,,
09/1956,,405789,,0.02,,
10/1956,,424490,,2.07,,
11/1956,,439704,,0.00,,
12/1956,,448988,,1.12,,
01/1957,,447223,,3.14,,
02/1957,,483930,,1.94,,
03/1957,,468917,,1.51,,
04/1957,,518650,,2.56,,
05/1957,,736999,,2.89,,
06/1957,,868085,,0.17,,
07/1957,,565912,,0.00,,
08/1957,,363926,,0.00,,
09/1957,,291755,,0.26,,
10/1957,,294773,,0.87,,
11/1957,,316310,,1.25,,
12/1957,,348765,,4.82,,
01/1958,,375490,,3.69,,
02/1958,,453416,,5.00,,
03/1958,,588118,,8.62,,
04/1958,,750876,,4.31,,
05/1958,,921209,,1.11,,
06/1958,,996820,,0.00,,
07/1958,,835848,,0.28,,
08/1958,,621450,,0.07,,
09/1958,,585553,,0.77,,
10/1958,,596871,,0.00,,
11/1958,,606639,,0.36,,
12/1958,,614180,,0.32,,
01/1959,,625333,,1.96,,
02/1959,,663463,,4.45,,
03/1959,,637839,,0.03,,
04/1959,,687726,,0.20,,
05/1959,,655474,,0.14,,
06/1959,,490018,,0.00,,
07/1959,,420879,,0.00,,
08/1959,,354076,,0.00,,
09/1959,,310418,,1.88,,
10/1959,,316632,,0.00,,
11/1959,,321036,,0.00,,
12/1959,,321552,,0.39,,
01/1960,,328369,,2.08,,
02/1960,,362410,,4.27,,
03/1960,,384792,,1.81,,
04/1960,,417616,,1.53,,
05/1960,,486850,,0.13,,
06/1960,,371405,,0.00,,
07/1960,,288783,,0.00,,
08/1960,,239425,,0.00,,
09/1960,,231835,,0.02,,
10/1960,,237156,,0.09,,
11/1960,,255738,,4.70,,
12/1960,,271901,,1.11,,
01/1961,,278998,,1.93,,
02/1961,,290558,,0.44,,
03/1961,,294928,,1.96,,
04/1961,,342862,,0.70,,
05/1961,,398352,,0.49,,
06/1961,,360661,,0.11,,
07/1961,,202697,,0.00,,
08/1961,,142547,,0.02,,
09/1961,,110185,,0.35,,
10/1961,,113936,,0.01,,
11/1961,,126847,,2.11,,
12/1961,,151902,,2.49,,
01/1962,,166249,,2.23,,
02/1962,,307698,,9.27,,
03/1962,,354619,,2.79,,
04/1962,,526459,,0.16,,
05/1962,,591174,,0.53,,
06/1962,,646883,,0.06,,
07/1962,,467505,,0.01,,
08/1962,,321552,,0.00,,
09/1962,,247397,,0.06,,
10/1962,,265217,,1.32,,
11/1962,,285797,,0.05,,
12/1962,,287866,,0.19,,
01/1963,,346311,,4.06,,
02/1963,,513202,,4.57,,
03/1963,,523254,,3.49,,
04/1963,,657538,,4.53,,
05/1963,,859460,,0.47,,
06/1963,,923190,,0.08,,
07/1963,,770775,,0.00,,
08/1963,,526877,,0.00,,
09/1963,,467191,,0.10,,
10/1963,,511886,,1.53,,
11/1963,,589845,,3.96,,
12/1963,,630559,,0.65,,
01/1964,,616447,,1.59,,
02/1964,,604480,,0.03,,
03/1964,,544423,,2.77,,
04/1964,,621633,,1.13,,
05/1964,,692874,,1.12,,
06/1964,,537276,,0.08,,
07/1964,,336351,,0.00,,
08/1964,,261194,,0.01,,
09/1964,,191863,,0.45,,
10/1964,,210790,,1.20,,
11/1964,,253790,,3.79,,
12/1964,,388525,,4.47,,
01/1965,,509421,,3.83,,
02/1965,,536812,,0.34,,
03/1965,,503007,,1.89,,
04/1965,,623596,,4.99,,
05/1965,,694226,,0.03,,
06/1965,,705948,,0.00,,
07/1965,,557580,,0.00,,
08/1965,,455195,,0.10,,
09/1965,,419319,,0.00,,
10/1965,,457711,,0.24,,
11/1965,,523462,,3.98,,
12/1965,,577503,,3.86,,
01/1966,,609341,,1.04,,
02/1966,,620903,,0.88,,
03/1966,,528504,,0.14,,
04/1966,,608304,,0.95,,
05/1966,,686240,,0.36,,
06/1966,,504351,,0.00,,
07/1966,,321647,,0.00,,
08/1966,,270242,,0.00,,
09/1966,,211228,,0.02,,
10/1966,,229955,,0.00,,
11/1966,,273234,,2.01,,
12/1966,,559429,,8.12,,
01/1967,,646787,,3.80,,
02/1967,,705851,,0.61,,
03/1967,,780375,,4.33,,
04/1967,,845798,,8.70,,
05/1967,,844935,,0.40,,
06/1967,,957641,,0.10,,
07/1967,,963098,,0.04,,
08/1967,,742792,,0.00,,
09/1967,,666012,,0.28,,
10/1967,,650002,,0.00,,
11/1967,,692778,,1.59,,
12/1967,,699589,,2.47,,
01/1968,,680450,,2.46,,
02/1968,,707019,,0.92,,
03/1968,,655708,,1.87,,
04/1968,,670033,,0.82,,
05/1968,,739143,,0.39,,
06/1968,,558137,,0.00,,
07/1968,,378470,,0.00,,
08/1968,,349236,,0.05,,
09/1968,,306592,,0.00,,
10/1968,,342094,,1.85,,
11/1968,,380336,,2.41,,
12/1968,,420877,,4.95,,
01/1969,,783212,,13.90,,
02/1969,,818947,,7.69,,
