Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1974,,101160,,
11/1974,,100420,,
12/1974,,100390,,
01/1975,,99750,,
02/1975,,99600,,
03/1975,,100190,,
04/1975,,101450,,
05/1975,,101540,,
06/1975,,100270,,
07/1975,,98870,,
08/1975,,97860,,
09/1975,,96300,,
10/1975,,95230,,
11/1975,,94340,,
12/1975,,93640,,
01/1976,,92800,,
02/1976,,92720,,
03/1976,,93820,,
04/1976,,93020,,
05/1976,,91900,,
06/1976,,90550,,
07/1976,,88910,,
08/1976,,87410,,
09/1976,,87290,,
10/1976,,86390,,
11/1976,,85450,,
12/1976,,84460,,
01/1977,,84160,,
02/1977,,83690,,
03/1977,,83060,,
04/1977,,82180,,
05/1977,,81710,,
06/1977,,80620,,
07/1977,,78340,,
08/1977,,77210,,
09/1977,,75440,,
10/1977,,74270,,
11/1977,,73280,,
12/1977,,78970,,
01/1978,,85760,,
02/1978,,100040,,
03/1978,,100360,,
04/1978,,114560,,
05/1978,,108660,,
06/1978,,103240,,
07/1978,,90330,,
08/1978,,76470,,
09/1978,,--,,
10/1978,,69910,,
11/1978,,86530,,
12/1978,,106480,,
01/1979,,118360,,
02/1979,,124080,,
03/1979,,123870,,
04/1979,,124490,,
05/1979,,124150,,
06/1979,,104920,,
07/1979,,90030,,
08/1979,,78170,,
09/1979,,75690,,
10/1979,,73260,,
11/1979,,75690,,
12/1979,,87650,,
01/1980,,112720,,
02/1980,,122630,,
03/1980,,120930,,
04/1980,,121500,,
05/1980,,119500,,
06/1980,,108010,,
07/1980,,92370,,
08/1980,,74330,,
09/1980,,72050,,
10/1980,,72980,,
11/1980,,81220,,
12/1980,,100210,,
01/1981,,119180,,
02/1981,,123840,,
03/1981,,124440,,
04/1981,,118500,,
05/1981,,100930,,
06/1981,,81850,,
07/1981,,67680,,
08/1981,,68650,,
09/1981,,71770,,
10/1981,,68980,,
11/1981,,70770,,
12/1981,,76200,,
01/1982,,86170,,
02/1982,,111340,,
03/1982,,124190,,
04/1982,,122360,,
05/1982,,111120,,
06/1982,,95000,,
07/1982,,85270,,
08/1982,,78970,,
09/1982,,81120,,
10/1982,,88210,,
11/1982,,109860,,
12/1982,,120640,,
01/1983,,121090,,
