Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1974,,161770,,
11/1974,,151850,,
12/1974,,157930,,
01/1975,,162770,,
02/1975,,149100,,
03/1975,,161150,,
04/1975,,167330,,
05/1975,,167720,,
06/1975,,162520,,
07/1975,,161020,,
08/1975,,167590,,
09/1975,,163700,,
10/1975,,164540,,
11/1975,,168230,,
12/1975,,166310,,
01/1976,,163650,,
02/1976,,164160,,
03/1976,,163020,,
04/1976,,166570,,
05/1976,,165170,,
06/1976,,164410,,
07/1976,,160650,,
08/1976,,164410,,
09/1976,,163290,,
10/1976,,166570,,
11/1976,,168100,,
12/1976,,166190,,
01/1977,,167460,,
02/1977,,166820,,
03/1977,,166440,,
04/1977,,166060,,
05/1977,,167080,,
06/1977,,167590,,
07/1977,,167590,,
08/1977,,167330,,
09/1977,,165300,,
10/1977,,167080,,
11/1977,,166820,,
12/1977,,167840,,
01/1978,,163280,,
02/1978,,164030,,
03/1978,,--,,
04/1978,,169640,,
05/1978,,165930,,
06/1978,,161900,,
07/1978,,165300,,
08/1978,,165420,,
09/1978,,166830,,
10/1978,,165040,,
11/1978,,166950,,
12/1978,,160900,,
01/1979,,164660,,
02/1979,,165550,,
03/1979,,166440,,
04/1979,,168230,,
05/1979,,159900,,
06/1979,,168230,,
07/1979,,164030,,
08/1979,,164410,,
09/1979,,168490,,
10/1979,,165550,,
11/1979,,165300,,
12/1979,,164030,,
01/1980,,166440,,
02/1980,,168230,,
03/1980,,169000,,
04/1980,,160280,,
05/1980,,163900,,
06/1980,,165300,,
07/1980,,129830,,
08/1980,,130590,,
09/1980,,131030,,
10/1980,,131900,,
11/1980,,137600,,
12/1980,,142230,,
01/1981,,165750,,
02/1981,,160770,,
03/1981,,165610,,
04/1981,,163090,,
05/1981,,163550,,
06/1981,,159740,,
07/1981,,157180,,
08/1981,,165750,,
09/1981,,159960,,
10/1981,,164160,,
11/1981,,165940,,
12/1981,,153780,,
01/1982,,161110,,
02/1982,,165780,,
03/1982,,160210,,
04/1982,,164990,,
05/1982,,166460,,
06/1982,,158270,,
07/1982,,153440,,
08/1982,,156540,,
09/1982,,151100,,
10/1982,,163990,,
11/1982,,155150,,
12/1982,,153790,,
01/1983,,161510,,
02/1983,,161630,,
03/1983,,158810,,
04/1983,,158340,,
05/1983,,162800,,
06/1983,,153730,,
07/1983,,157110,,
08/1983,,156030,,
09/1983,,132340,,
10/1983,,138380,,
11/1983,,143600,,
12/1983,,153430,,
01/1984,,157360,,
