Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1968,,619400,,
11/1968,,844940,,
12/1968,,1025100,,
01/1969,,1345140,,
02/1969,,1600780,,
03/1969,,1798510,,
04/1969,,1923100,,
05/1969,,2009570,,
06/1969,,2003740,,
07/1969,,1996280,,
08/1969,,1988830,,
09/1969,,1981260,,
10/1969,,1976470,,
11/1969,,1956850,,
12/1969,,1964390,,
01/1970,,1975840,,
02/1970,,1998680,,
03/1970,,1988200,,
04/1970,,2009320,,
05/1970,,1959870,,
06/1970,,1901760,,
07/1970,,1801430,,
08/1970,,1728460,,
09/1970,,1719600,,
10/1970,,1714060,,
11/1970,,1767660,,
12/1970,,1858930,,
01/1971,,1921310,,
02/1971,,1936550,,
03/1971,,1954100,,
04/1971,,1980250,,
05/1971,,1977730,,
06/1971,,1925430,,
07/1971,,1832610,,
08/1971,,1755560,,
09/1971,,1736160,,
10/1971,,1795590,,
11/1971,,1877800,,
12/1971,,1949320,,
01/1972,,1927800,,
02/1972,,1875840,,
03/1972,,1895550,,
04/1972,,1972940,,
05/1972,,1961750,,
06/1972,,1750140,,
07/1972,,1441860,,
08/1972,,1333900,,
09/1972,,1481580,,
10/1972,,1670030,,
11/1972,,1796560,,
12/1972,,1932430,,
01/1973,,2015140,,
02/1973,,2019080,,
03/1973,,2023520,,
04/1973,,2019200,,
05/1973,,1984410,,
06/1973,,1902380,,
07/1973,,1708900,,
08/1973,,1604650,,
09/1973,,1690860,,
10/1973,,1840090,,
11/1973,,1959360,,
12/1973,,1984290,,
01/1974,,1988320,,
02/1974,,1992110,,
03/1974,,2011090,,
04/1974,,2019200,,
05/1974,,2026690,,
06/1974,,2001590,,
07/1974,,1932300,,
08/1974,,1855100,,
09/1974,,1852390,,
10/1974,,1944940,,
11/1974,,1940680,,
12/1974,,1938050,,
01/1975,,1936800,,
02/1975,,1997800,,
03/1975,,1998900,,
04/1975,,2003110,,
05/1975,,1841200,,
06/1975,,1443660,,
07/1975,,1046400,,
08/1975,,907170,,
09/1975,,1031600,,
10/1975,,1219250,,
11/1975,,1520190,,
12/1975,,1722580,,
01/1976,,1777700,,
02/1976,,1864720,,
