Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1969,,370,,
11/1969,,6150,,
12/1969,,14370,,
01/1970,,47890,,
02/1970,,58900,,
03/1970,,75680,,
04/1970,,91240,,
05/1970,,106720,,
06/1970,,104870,,
07/1970,,99360,,
08/1970,,89600,,
09/1970,,87700,,
10/1970,,86600,,
11/1970,,91700,,
12/1970,,95000,,
01/1971,,98700,,
02/1971,,103000,,
03/1971,,111000,,
04/1971,,127000,,
05/1971,,157000,,
06/1971,,178000,,
07/1971,,180000,,
08/1971,,170000,,
09/1971,,149000,,
10/1971,,123000,,
11/1971,,122000,,
12/1971,,122600,,
01/1972,,121890,,
02/1972,,121440,,
03/1972,,137580,,
04/1972,,130680,,
05/1972,,123210,,
06/1972,,122020,,
07/1972,,120740,,
08/1972,,116300,,
09/1972,,115600,,
10/1972,,115980,,
11/1972,,117980,,
12/1972,,122790,,
01/1973,,126420,,
02/1973,,126590,,
03/1973,,129680,,
04/1973,,147750,,
05/1973,,193290,,
06/1973,,205000,,
07/1973,,198290,,
08/1973,,192030,,
09/1973,,194930,,
10/1973,,163000,,
11/1973,,169650,,
12/1973,,172560,,
01/1974,,189000,,
02/1974,,193030,,
03/1974,,203980,,
04/1974,,205150,,
05/1974,,220200,,
06/1974,,224950,,
07/1974,,218310,,
08/1974,,195240,,
09/1974,,192880,,
10/1974,,190930,,
11/1974,,185120,,
12/1974,,179600,,
01/1975,,172240,,
02/1975,,169000,,
03/1975,,167010,,
04/1975,,166180,,
05/1975,,196160,,
06/1975,,212000,,
07/1975,,187400,,
08/1975,,151960,,
09/1975,,148760,,
10/1975,,144840,,
11/1975,,146370,,
12/1975,,147030,,
01/1976,,147480,,
02/1976,,147910,,
03/1976,,145310,,
04/1976,,124190,,
05/1976,,103730,,
06/1976,,92250,,
07/1976,,80780,,
08/1976,,66550,,
09/1976,,58440,,
10/1976,,51030,,
11/1976,,48210,,
12/1976,,45290,,
01/1977,,42460,,
02/1977,,39720,,
