Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
10/1959,,0.00,,
11/1959,,0.00,,
12/1959,,0.51,,
01/1960,,1.22,,
02/1960,,4.01,,
03/1960,,0.80,,
04/1960,,1.84,,
05/1960,,0.01,,
06/1960,,0.00,,
07/1960,,0.05,,
08/1960,,0.00,,
09/1960,,0.30,,
10/1960,,0.31,,
11/1960,,3.10,,
12/1960,,0.85,,
01/1961,,1.49,,
02/1961,,0.20,,
03/1961,,1.44,,
04/1961,,0.37,,
05/1961,,0.80,,
06/1961,,0.00,,
07/1961,,0.00,,
08/1961,,0.13,,
09/1961,,0.05,,
10/1961,,205,,0.09,,
11/1961,,249,,1.45,,
12/1961,,242,,1.62,,
01/1962,,294,,2.00,,
02/1962,,379,,8.10,,
03/1962,,530,,1.96,,
04/1962,,872,,0.16,,
05/1962,,4492,,0.14,,
06/1962,,4177,,0.05,,
07/1962,,2896,,0.00,,
08/1962,,2829,,0.00,,
09/1962,,2878,,0.14,,
10/1962,,3225,,0.53,,
11/1962,,3236,,0.00,,
12/1962,,3240,,0.04,,
01/1963,,21673,,2.05,,
02/1963,,7980,,3.21,,
03/1963,,7584,,2.95,,
04/1963,,29914,,4.09,,
05/1963,,76900,,0.27,,
06/1963,,89212,,0.08,,
07/1963,,42841,,0.00,,
08/1963,,9147,,0.11,,
09/1963,,8465,,0.37,,
10/1963,,8394,,1.52,,
11/1963,,8304,,2.59,,
12/1963,,8024,,0.34,,
01/1964,,8106,,0.96,,
02/1964,,8329,,0.41,,
03/1964,,8259,,2.41,,
04/1964,,20539,,1.46,,
05/1964,,46873,,1.50,,
06/1964,,34321,,0.05,,
07/1964,,8021,,0.00,,
08/1964,,7457,,0.00,,
09/1964,,7501,,0.39,,
10/1964,,7990,,1.28,,
11/1964,,7888,,2.28,,
12/1964,,6876,,3.74,,
01/1965,,7080,,2.92,,
02/1965,,7827,,0.47,,
03/1965,,8024,,1.17,,
04/1965,,54968,,3.21,,
05/1965,,115362,,0.00,,
06/1965,,121277,,0.00,,
07/1965,,48668,,0.01,,
08/1965,,15861,,0.05,,
09/1965,,8715,,0.30,,
10/1965,,9805,,0.11,,
11/1965,,8722,,2.50,,
12/1965,,9078,,2.53,,
01/1966,,7970,,1.58,,
02/1966,,7861,,0.82,,
03/1966,,9271,,0.15,,
04/1966,,44242,,0.32,,
05/1966,,71730,,0.33,,
06/1966,,26733,,0.22,,
07/1966,,7635,,0.00,,
08/1966,,6645,,0.00,,
09/1966,,6451,,0.00,,
10/1966,,6331,,0.00,,
11/1966,,8692,,1.54,,
12/1966,,60850,,6.79,,
01/1967,,13756,,2.42,,
02/1967,,8638,,0.39,,
03/1967,,14911,,2.95,,
04/1967,,80232,,7.01,,
05/1967,,103309,,0.28,,
06/1967,,158487,,0.50,,
07/1967,,146155,,0.04,,
08/1967,,72895,,0.00,,
09/1967,,23799,,1.54,,
10/1967,,8084,,0.00,,
11/1967,,8432,,2.01,,
12/1967,,7947,,1.80,,
01/1968,,8105,,1.44,,
02/1968,,8046,,0.84,,
03/1968,,15307,,1.63,,
04/1968,,43905,,0.61,,
05/1968,,83492,,0.25,,
06/1968,,45220,,0.14,,
07/1968,,20017,,0.00,,
08/1968,,10392,,0.00,,
09/1968,,8330,,0.00,,
10/1968,,8098,,1.80,,
11/1968,,8053,,1.45,,
12/1968,,8091,,3.20,,
01/1969,,128035,,10.50,,
02/1969,,117308,,7.40,,
03/1969,,82427,,1.18,,
04/1969,,68813,,2.69,,
05/1969,,147370,,0.10,,
06/1969,,156456,,1.77,,
07/1969,,143548,,0.17,,
08/1969,,102729,,0.00,,
09/1969,,83056,,0.19,,
10/1969,,21167,,0.20,,
11/1969,,7978,,0.84,,
12/1969,,8912,,1.51,,
01/1970,,35744,,--,,
02/1970,,9605,,--,,
03/1970,,14703,,3.01,,
04/1970,,45072,,0.32,,
05/1970,,123602,,0.00,,
06/1970,,91414,,0.08,,
07/1970,,32120,,0.02,,
08/1970,,8302,,0.00,,
09/1970,,7648,,--,,
10/1970,,7611,,0.03,,
11/1970,,11775,,4.41,,
12/1970,,8081,,3.00,,
01/1971,,7975,,1.32,,
02/1971,,7852,,0.89,,
03/1971,,15792,,0.77,,
04/1971,,44471,,0.69,,
05/1971,,93881,,1.68,,
06/1971,,109213,,0.00,,
07/1971,,42909,,0.00,,
08/1971,,13096,,0.00,,
09/1971,,8167,,0.07,,
10/1971,,8577,,0.13,,
11/1971,,12881,,1.08,,
12/1971,,8063,,3.89,,
01/1972,,7961,,0.44,,
02/1972,,10033,,0.80,,
03/1972,,17227,,0.00,,
04/1972,,36643,,0.41,,
05/1972,,60726,,0.39,,
06/1972,,38317,,0.01,,
07/1972,,14304,,0.00,,
08/1972,,8372,,0.00,,
09/1972,,9077,,0.04,,
10/1972,,9931,,1.00,,
11/1972,,8163,,3.52,,
12/1972,,8865,,1.93,,
01/1973,,8250,,4.92,,
02/1973,,10021,,4.31,,
03/1973,,23043,,5.18,,
04/1973,,49165,,0.28,,
05/1973,,144025,,0.01,,
06/1973,,146039,,0.00,,
07/1973,,67358,,0.00,,
08/1973,,13959,,0.00,,
09/1973,,9310,,0.00,,
10/1973,,13270,,1.42,,
11/1973,,8916,,2.66,,
12/1973,,9877,,2.21,,
01/1974,,8081,,3.76,,
02/1974,,8067,,0.89,,
03/1974,,20256,,2.62,,
04/1974,,79412,,1.90,,
05/1974,,150105,,0.02,,
06/1974,,132923,,0.00,,
07/1974,,44776,,0.00,,
08/1974,,13400,,0.00,,
09/1974,,7954,,0.00,,
10/1974,,9351,,1.79,,
11/1974,,14285,,1.75,,
12/1974,,14591,,1.57,,
01/1975,,13368,,0.86,,
02/1975,,8408,,2.53,,
03/1975,,27204,,3.10,,
04/1975,,50556,,1.20,,
05/1975,,131832,,0.02,,
06/1975,,139033,,0.00,,
07/1975,,67239,,0.00,,
08/1975,,9904,,0.00,,
09/1975,,9035,,0.05,,
10/1975,,15134,,1.88,,
11/1975,,14709,,1.05,,
12/1975,,14684,,0.55,,
01/1976,,11638,,0.02,,
02/1976,,15751,,3.97,,
03/1976,,28407,,0.40,,
04/1976,,45225,,1.01,,
05/1976,,73477,,0.24,,
06/1976,,50094,,0.00,,
07/1976,,21039,,0.02,,
