Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
11/1957,,41260,,
12/1957,,48550,,
01/1958,,51840,,
02/1958,,60680,,
03/1958,,52360,,
04/1958,,61260,,
05/1958,,41600,,
06/1958,,66590,,
07/1958,,64980,,
08/1958,,54880,,
09/1958,,26210,,
10/1958,,12500,,
11/1958,,26600,,
12/1958,,13600,,
01/1959,,24000,,
02/1959,,46300,,
03/1959,,52500,,
04/1959,,52100,,
05/1959,,55200,,
06/1959,,35800,,
07/1959,,27300,,
08/1959,,19200,,
09/1959,,17800,,
10/1959,,5760,,
11/1959,,10600,,
12/1959,,12500,,
01/1960,,18000,,
02/1960,,45800,,
03/1960,,60900,,
04/1960,,65800,,
05/1960,,66200,,
06/1960,,53200,,
07/1960,,49300,,
08/1960,,20200,,
09/1960,,5010,,
10/1960,,20700,,
11/1960,,20800,,
12/1960,,54000,,
01/1961,,50500,,
02/1961,,45300,,
03/1961,,58300,,
04/1961,,64100,,
05/1961,,65000,,
06/1961,,65800,,
07/1961,,53800,,
08/1961,,15900,,
09/1961,,12100,,
10/1961,,15600,,
11/1961,,14700,,
12/1961,,47800,,
01/1962,,50200,,
02/1962,,45400,,
03/1962,,49400,,
04/1962,,58600,,
05/1962,,66500,,
06/1962,,67700,,
07/1962,,55700,,
08/1962,,53100,,
09/1962,,16900,,
10/1962,,25000,,
11/1962,,35800,,
12/1962,,51300,,
01/1963,,56800,,
02/1963,,62200,,
03/1963,,68000,,
04/1963,,64900,,
05/1963,,63000,,
06/1963,,68000,,
07/1963,,66500,,
08/1963,,61600,,
09/1963,,33400,,
10/1963,,39900,,
11/1963,,51200,,
12/1963,,46300,,
01/1964,,48700,,
02/1964,,48500,,
03/1964,,54200,,
04/1964,,57600,,
05/1964,,65200,,
06/1964,,65800,,
07/1964,,66500,,
08/1964,,56200,,
09/1964,,23900,,
10/1964,,15320,,
11/1964,,55300,,
12/1964,,64000,,
01/1965,,50530,,
02/1965,,48460,,
03/1965,,45160,,
04/1965,,40070,,
05/1965,,64490,,
06/1965,,66840,,
07/1965,,65600,,
08/1965,,65230,,
09/1965,,56280,,
10/1965,,51440,,
11/1965,,55200,,
12/1965,,44250,,
01/1966,,41520,,
02/1966,,31450,,
03/1966,,42910,,
04/1966,,43080,,
05/1966,,40060,,
06/1966,,62500,,
07/1966,,66470,,
08/1966,,38510,,
09/1966,,23610,,
10/1966,,29550,,
11/1966,,29360,,
12/1966,,49240,,
01/1967,,44250,,
02/1967,,43980,,
03/1967,,57600,,
04/1967,,45990,,
05/1967,,49600,,
06/1967,,59520,,
07/1967,,60800,,
08/1967,,54880,,
09/1967,,51440,,
10/1967,,44520,,
11/1967,,52670,,
12/1967,,47780,,
01/1968,,46740,,
02/1968,,63520,,
03/1968,,66720,,
04/1968,,64490,,
05/1968,,65100,,
06/1968,,66470,,
07/1968,,64980,,
08/1968,,50430,,
09/1968,,30690,,
10/1968,,42700,,
11/1968,,53000,,
12/1968,,56000,,
01/1969,,44400,,
02/1969,,41700,,
03/1969,,16300,,
04/1969,,18800,,
05/1969,,59100,,
06/1969,,66800,,
07/1969,,64000,,
08/1969,,53900,,
09/1969,,53700,,
10/1969,,--,,
11/1969,,55400,,
12/1969,,59300,,
01/1970,,42400,,
02/1970,,53500,,
03/1970,,66100,,
04/1970,,66000,,
05/1970,,65000,,
06/1970,,67100,,
07/1970,,66000,,
08/1970,,56400,,
09/1970,,32100,,
10/1970,,29800,,
11/1970,,40200,,
12/1970,,43900,,
01/1971,,34300,,
02/1971,,36400,,
03/1971,,52500,,
04/1971,,54900,,
05/1971,,65100,,
06/1971,,67000,,
07/1971,,66500,,
08/1971,,63300,,
09/1971,,40800,,
10/1971,,46200,,
11/1971,,37150,,
12/1971,,45300,,
01/1972,,40200,,
02/1972,,60210,,
03/1972,,46600,,
04/1972,,51300,,
05/1972,,65200,,
06/1972,,65600,,
07/1972,,65400,,
08/1972,,46600,,
09/1972,,14870,,
10/1972,,38400,,
11/1972,,32500,,
12/1972,,51400,,
01/1973,,57200,,
02/1973,,52250,,
03/1973,,43700,,
04/1973,,45520,,
05/1973,,66700,,
06/1973,,65350,,
07/1973,,66000,,
08/1973,,46900,,
09/1973,,12320,,
10/1973,,29200,,
11/1973,,55300,,
12/1973,,57900,,
01/1974,,45400,,
02/1974,,56700,,
03/1974,,46600,,
04/1974,,52600,,
05/1974,,64200,,
06/1974,,66700,,
07/1974,,65500,,
08/1974,,65100,,
09/1974,,56800,,
10/1974,,17450,,
11/1974,,26640,,
12/1974,,37860,,
01/1975,,58390,,
02/1975,,55100,,
03/1975,,59870,,
04/1975,,50120,,
05/1975,,40120,,
06/1975,,66470,,
07/1975,,62200,,
08/1975,,57050,,
09/1975,,40500,,
10/1975,,17000,,
11/1975,,27500,,
12/1975,,54030,,
01/1976,,59900,,
02/1976,,58100,,
03/1976,,59900,,
04/1976,,66700,,
05/1976,,66700,,
06/1976,,62700,,
07/1976,,30200,,
08/1976,,5130,,
09/1976,,8330,,
10/1976,,12200,,
11/1976,,15000,,
12/1976,,16200,,
01/1977,,19190,,
02/1977,,22900,,
03/1977,,27600,,
04/1977,,17700,,
05/1977,,44200,,
06/1977,,36000,,
07/1977,,12800,,
08/1977,,6610,,
09/1977,,10800,,
10/1977,,14800,,
11/1977,,17700,,
12/1977,,34900,,
01/1978,,27900,,
02/1978,,55700,,
03/1978,,54340,,
04/1978,,42910,,
05/1978,,42700,,
06/1978,,67100,,
07/1978,,67100,,
08/1978,,66200,,
09/1978,,32100,,
10/1978,,57190,,
11/1978,,57760,,
12/1978,,59120,,
01/1979,,61080,,
02/1979,,61860,,
03/1979,,65830,,
04/1979,,63390,,
05/1979,,60400,,
06/1979,,64140,,
07/1979,,66730,,
08/1979,,65650,,
