Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
10/1962,,26700,,
11/1962,,30200,,
12/1962,,45300,,
01/1963,,70200,,
02/1963,,122000,,
03/1963,,138000,,
04/1963,,179000,,
05/1963,,265000,,
06/1963,,268000,,
07/1963,,269000,,
08/1963,,269000,,
09/1963,,269000,,
10/1963,,221000,,
11/1963,,196590,,
12/1963,,150010,,
01/1964,,108500,,
02/1964,,115950,,
03/1964,,128760,,
04/1964,,165600,,
05/1964,,220930,,
06/1964,,241400,,
07/1964,,222740,,
08/1964,,189130,,
09/1964,,159680,,
10/1964,,150280,,
11/1964,,134640,,
12/1964,,225500,,
01/1965,,197000,,
02/1965,,175890,,
03/1965,,181890,,
04/1965,,207660,,
05/1965,,223340,,
06/1965,,239340,,
07/1965,,209000,,
08/1965,,186800,,
09/1965,,156340,,
10/1965,,136590,,
11/1965,,160820,,
12/1965,,135610,,
01/1966,,115000,,
02/1966,,99070,,
03/1966,,123200,,
04/1966,,174240,,
05/1966,,180450,,
06/1966,,159850,,
07/1966,,139340,,
08/1966,,114380,,
09/1966,,95650,,
10/1966,,105650,,
11/1966,,109000,,
12/1966,,109340,,
01/1967,,98200,,
02/1967,,103840,,
03/1967,,140900,,
04/1967,,143100,,
05/1967,,188500,,
06/1967,,261820,,
07/1967,,261890,,
08/1967,,232870,,
09/1967,,217910,,
10/1967,,199470,,
11/1967,,154530,,
12/1967,,139770,,
01/1968,,130180,,
02/1968,,163700,,
03/1968,,191270,,
04/1968,,224710,,
05/1968,,232490,,
06/1968,,227570,,
07/1968,,208230,,
08/1968,,189250,,
09/1968,,180200,,
10/1968,,167990,,
11/1968,,155010,,
12/1968,,136910,,
01/1969,,170360,,
02/1969,,127000,,
03/1969,,104000,,
04/1969,,141860,,
05/1969,,219850,,
06/1969,,265200,,
07/1969,,261410,,
08/1969,,223120,,
09/1969,,185180,,
10/1969,,193430,,
11/1969,,191460,,
12/1969,,195000,,
01/1970,,228710,,
02/1970,,211250,,
03/1970,,232690,,
04/1970,,233260,,
05/1970,,267000,,
06/1970,,269650,,
07/1970,,258600,,
08/1970,,227670,,
09/1970,,219040,,
10/1970,,205550,,
11/1970,,196620,,
12/1970,,164000,,
01/1971,,121000,,
02/1971,,120560,,
03/1971,,149200,,
04/1971,,196580,,
05/1971,,247780,,
06/1971,,268730,,
07/1971,,240100,,
08/1971,,187860,,
09/1971,,195000,,
10/1971,,177320,,
11/1971,,166210,,
12/1971,,152140,,
01/1972,,127800,,
02/1972,,120830,,
03/1972,,173770,,
04/1972,,206870,,
05/1972,,247160,,
06/1972,,256820,,
07/1972,,221430,,
08/1972,,183810,,
09/1972,,161060,,
10/1972,,151700,,
11/1972,,147170,,
12/1972,,142000,,
01/1973,,152210,,
02/1973,,159990,,
03/1973,,142920,,
04/1973,,187640,,
05/1973,,256000,,
06/1973,,252370,,
07/1973,,228220,,
08/1973,,210780,,
09/1973,,190831,,
10/1973,,176820,,
11/1973,,201460,,
12/1973,,200400,,
01/1974,,216040,,
02/1974,,210430,,
03/1974,,225230,,
04/1974,,231310,,
05/1974,,269780,,
06/1974,,269570,,
07/1974,,261600,,
08/1974,,210340,,
09/1974,,159230,,
10/1974,,151000,,
11/1974,,142240,,
12/1974,,103470,,
01/1975,,58200,,
02/1975,,70300,,
03/1975,,100740,,
04/1975,,111120,,
05/1975,,184520,,
06/1975,,237760,,
07/1975,,211110,,
08/1975,,177120,,
09/1975,,144400,,
10/1975,,153500,,
11/1975,,149170,,
12/1975,,124580,,
01/1976,,113700,,
02/1976,,108120,,
03/1976,,116620,,
04/1976,,131760,,
05/1976,,138620,,
06/1976,,125320,,
07/1976,,83930,,
08/1976,,51080,,
09/1976,,33700,,
10/1976,,24500,,
11/1976,,35150,,
12/1976,,22570,,
01/1977,,19620,,
02/1977,,23640,,
03/1977,,28910,,
04/1977,,39750,,
05/1977,,53860,,
06/1977,,61000,,
07/1977,,61400,,
08/1977,,61100,,
09/1977,,57400,,
10/1977,,49180,,
11/1977,,52420,,
12/1977,,73150,,
01/1978,,101280,,
02/1978,,129030,,
03/1978,,157870,,
04/1978,,178670,,
05/1978,,211000,,
06/1978,,245400,,
07/1978,,231300,,
08/1978,,212800,,
09/1978,,202800,,
10/1978,,204600,,
11/1978,,179300,,
12/1978,,173000,,
01/1979,,165000,,
02/1979,,161000,,
03/1979,,181200,,
04/1979,,213000,,
05/1979,,264000,,
06/1979,,275700,,
07/1979,,250600,,
08/1979,,221700,,
09/1979,,180200,,
10/1979,,163200,,
11/1979,,172400,,
12/1979,,177400,,
01/1980,,221600,,
02/1980,,230700,,
03/1980,,215500,,
04/1980,,228300,,
05/1980,,249100,,
06/1980,,276200,,
07/1980,,264600,,
08/1980,,227800,,
09/1980,,169500,,
10/1980,,169900,,
11/1980,,149860,,
12/1980,,121700,,
01/1981,,102800,,
02/1981,,103200,,
03/1981,,115080,,
04/1981,,158800,,
05/1981,,182300,,
06/1981,,171800,,
07/1981,,139000,,
08/1981,,107700,,
09/1981,,70990,,
10/1981,,74120,,
11/1981,,124220,,
12/1981,,195600,,
01/1982,,212260,,
02/1982,,233200,,
03/1982,,225770,,
04/1982,,246400,,
05/1982,,274500,,
06/1982,,275300,,
07/1982,,243800,,
08/1982,,192800,,
09/1982,,156000,,
10/1982,,186200,,
11/1982,,192800,,
12/1982,,198100,,
01/1983,,211200,,
02/1983,,209000,,
03/1983,,220340,,
04/1983,,194200,,
05/1983,,229610,,
06/1983,,272700,,
07/1983,,270390,,
08/1983,,258700,,
09/1983,,267900,,
10/1983,,267900,,
11/1983,,235500,,
12/1983,,241000,,
01/1984,,206480,,
02/1984,,194320,,
03/1984,,197760,,
04/1984,,185630,,
05/1984,,233000,,
06/1984,,274700,,
07/1984,,259530,,
08/1984,,222570,,
09/1984,,179540,,
10/1984,,167800,,
11/1984,,192600,,
12/1984,,204800,,
01/1985,,194000,,
02/1985,,171800,,
03/1985,,172000,,
04/1985,,229700,,
05/1985,,258700,,
06/1985,,260130,,
07/1985,,218540,,
08/1985,,182070,,
09/1985,,148550,,
10/1985,,143000,,
11/1985,,167900,,
12/1985,,146900,,
01/1986,,170400,,
02/1986,,242000,,
03/1986,,239800,,
04/1986,,257300,,
05/1986,,270800,,
06/1986,,259500,,
07/1986,,225440,,
08/1986,,188340,,
09/1986,,148040,,
10/1986,,142100,,
11/1986,,129400,,
12/1986,,107400,,
01/1987,,105300,,
02/1987,,94400,,
03/1987,,108300,,
04/1987,,134600,,
05/1987,,137300,,
06/1987,,113100,,
07/1987,,80100,,
08/1987,,47700,,
09/1987,,31500,,
10/1987,,46117,,
11/1987,,69961,,
12/1987,,64966,,
01/1988,,62824,,
02/1988,,54196,,
03/1988,,56276,,
04/1988,,67975,,
05/1988,,84431,,
06/1988,,86842,,
07/1988,,82421,,
08/1988,,73600,,
09/1988,,53560,,
10/1988,,46000,,
11/1988,,46700,,
12/1988,,41300,,
01/1989,,35100,,
02/1989,,35000,,
03/1989,,111800,,
04/1989,,192500,,
05/1989,,254400,,
06/1989,,275000,,
07/1989,,240100,,
08/1989,,201200,,
09/1989,,161900,,
10/1989,,175545,,
11/1989,,191403,,
12/1989,,184908,,
01/1990,,182966,,
02/1990,,181060,,
03/1990,,201655,,
04/1990,,245563,,
05/1990,,259528,,
06/1990,,264296,,
07/1990,,226552,,
08/1990,,188042,,
09/1990,,153701,,
10/1990,,134907,,
11/1990,,118927,,
12/1990,,95206,,
01/1991,,79728,,
02/1991,,69464,,
03/1991,,83165,,
04/1991,,134484,,
05/1991,,172973,,
06/1991,,193686,,
07/1991,,172506,,
08/1991,,147219,,
09/1991,,130629,,
10/1991,,137030,,
11/1991,,118669,,
12/1991,,100003,,
01/1992,,85048,,
02/1992,,100836,,
03/1992,,136618,,
04/1992,,160486,,
05/1992,,151631,,
06/1992,,145770,,
07/1992,,139680,,
08/1992,,123942,,
09/1992,,103512,,
10/1992,,89861,,
11/1992,,84233,,
12/1992,,76424,,
01/1993,,96300,,
02/1993,,118332,,
03/1993,,168526,,
04/1993,,211780,,
05/1993,,262459,,
06/1993,,271804,,
07/1993,,261279,,
08/1993,,218244,,
09/1993,,182683,,
10/1993,,178901,,
11/1993,,155903,,
12/1993,,131200,,
01/1994,,127362,,
02/1994,,117948,,
03/1994,,148793,,
04/1994,,165002,,
05/1994,,179469,,
06/1994,,163202,,
07/1994,,151747,,
